NAME	K072V0	K079V0	K083V0	K084V0	K085V0	K086V0	K095V0	K096V0	K097V0	K098V0	K100V0	K101V0	K105V0	K107V0	K110V0	K111V0	K112V0	K119V0	K121V0	K122V0	K131V0	K136V0	K138V0	K144V0	K154V0	K155V0	K157V0	K169V0	K171V0	K173V0	K174V0	K177V0	K179V0	K180V0	K182V0	K184V0	K188V0	K022V2	K065V2	K068V2	K099V2	J095V4	1107V4	K003V4	X003V4	1004V4	X004V4	1055V4	J009V6	J043V6	J048V6	J073V6	J059V6	J050V6	1075V6	S044V8	S106V8	S099V8	C220V8	C402V8	C161V8	C532V8	C422V8	J035V8	J076V8	J063V8	K080V2	K059V2	Z002	Z003	Z004	Z007	Z008	Z010	Z011	Z013	Z014	Z023	Z025	Z030	Z031	Z033	Z035	Z040	Z041	Z042	Z043	Z044	Z047	Z048	Z049	Z050	Z064	Z065	Z046	K055V0	K057V0	K060V0	K147V0	K194V0	K014V2	K016V2	K058V2	K047V2	K011V4	K013V4	K028V4	K019V4	K040V4	C132V8	K041V4	Z015	Z017	Z018	Z020	Z024	Z026	Z027	Z028	Z029	Z034	Z038	Z039	Z054	Z055	Z056	Z060	Z061	Z062
C00009	8.718500395	8.745211841	8.681648423	8.800898251	9.632560052	8.763316039	8.565697287	8.867426022	8.511147298	8.546460733	8.661617917	8.847529634	8.654271166	8.966557843	8.864782382	8.95914236	8.670452402	9.093538727	9.235420505	9.004143522	8.473367972	8.901778514	8.98178483	8.995366414	8.927524116	8.966630282	8.992412581	9.025424486	8.451920377	8.664131741	9.198591962	8.660173454	8.808516824	9.098627339	8.949274255	9.168230271	8.715033278	8.971066351	9.377014682	9.13832365	9.007153537	9.304831823	9.212329779	9.051741108	9.094232151	9.222234463	8.793388694	9.412519852	9.262503825	9.152990495	9.02176946	9.076547761	8.816270831	9.026209832	9.060565432	9.033431549	9.254009418	9.036292264	9.060476139	8.988399547	9.065464222	9.127486234	9.485996918	9.207730425	8.889513967	8.569847907	9.181677976	8.884891184	8.841873352	8.843592709	9.26610222	8.633290397	8.671576662	9.027636458	9.232148532	9.102816164	9.239495266	8.581840739	9.071610667	9.057888703	9.053434255	9.119433653	9.126483291	9.085296645	9.029122672	9.165842913	8.466469882	8.527687931	9.213374911	9.107915289	8.234500706	9.235401425	8.893284667	9.009999925	9.103844261	8.531985743	8.769586614	8.710174652	8.889926842	8.853267919	9.057972356	9.084007591	8.994604019	8.965586142	9.131733916	8.980857595	8.792800581	8.971826834	9.026280836	9.171759666	9.064832359	8.9184868	9.291594457	8.935021275	8.963823882	9.050146994	9.341633775	8.810133347	9.193002625	9.245356301	8.939109598	9.292617182	8.992907614	9.112466071	8.906836999	8.663668928	9.069075382	9.002291849	9.058482232
C00015	8.264579295	9.261850282	8.780691991	9.500626796	9.911740399	8.095395817	8.468538694	9.70782962	6.72883968	7.115526736	7.856744382	8.70194221	7.836373576	9.835304613	8.356718665	7.896941369	8.686562655	9.726889292	8.952357988	10.1315215	5.464077948	7.794283647	8.550837843	9.85032678	9.378094423	9.938970607	9.653663605	9.168011468	5.230833331	7.373051535	10.0865711	8.339760079	8.180753667	9.593363796	9.311051926	9.892814256	8.010143698	9.844752493	9.658408762	9.732109284	8.453864742	9.603393193	9.706313639	9.411670795	9.213269408	9.383599827	6.189496892	9.189705705	8.897806153	9.598043573	9.374283449	9.666865906	7.809247344	9.415835243	9.718884694	8.786749456	9.55855276	9.041371058	8.213953316	9.261232886	9.207354504	9.331366729	9.473074778	9.511583327	7.533693918	6.345274731	9.914107637	7.743261059	8.304228041	7.205788271	9.949268826	7.651996747	7.417120521	9.830341508	9.577147496	9.668775458	9.211837404	9.207100754	10.18215395	9.619556967	8.652378976	10.06494902	10.22808842	9.243534934	9.584297193	9.662344382	8.81434905	6.342129643	8.658922994	8.460217598	7.641011472	8.522929883	8.387282115	8.278670521	9.47755898	9.095823768	8.851822142	8.655489938	9.855088621	9.250476577	9.650885887	10.21346997	10.04270915	9.493663849	9.151708572	9.43462276	8.994089031	8.790847846	9.659553213	9.509917349	9.430258789	8.155563027	9.759412626	8.410947608	7.706963681	9.35862355	9.305712922	9.593980616	8.972954131	9.505104481	8.383308548	9.797114043	10.00986718	10.26566365	10.58124503	7.682506069	8.65181296	10.61974056	8.429381604
C00016	9.504609633	9.658021132	8.578643884	8.115830496	9.38215584	8.773420742	8.554516653	9.379932476	9.852819566	9.739761986	10.04505637	8.902893446	8.15142537	8.761450182	9.80315431	9.19904757	9.684726681	7.9679508	7.228667382	10.22143885	9.662900745	9.67759613	8.909180278	7.916583981	7.675509271	9.788387209	9.500939598	7.586241476	8.868134892	9.905175229	8.48457816	10.12982538	9.924364285	8.640061633	7.570305844	8.550577013	9.313861875	9.526219726	8.047745068	9.276842915	10.73538352	8.773039262	9.275418943	10.5241702	9.152261442	8.942392357	8.728942294	10.00793933	9.568678325	8.742127053	7.952159724	9.041396423	9.747852111	9.329671856	9.653966623	9.096760796	9.201688771	9.495305118	10.84514418	7.901682973	9.4835554	8.92334822	9.412408358	9.052062553	10.0009261	8.983878107	8.336529723	8.001147022	8.964032236	9.618305819	8.23515307	7.355534134	8.317781888	8.706999364	8.587388968	8.713870373	7.661570522	10.5385422	9.641592249	9.657637656	8.696243005	8.670868447	8.080454691	8.520863643	8.807976085	8.875369847	10.99878905	10.69157758	8.224974357	6.424465278	10.15609286	8.495353495	9.065324113	9.676702331	7.519381735	9.277160812	6.078833189	10.0002593	8.239061803	9.863046576	8.232648033	9.128830598	11.00385552	8.368967499	8.718156361	10.91106903	10.11494722	9.314748172	9.774605949	8.589318801	10.14036871	8.883341155	8.843477267	7.8632874	9.711345285	10.55666293	8.814395988	10.34098153	9.071121256	9.161310627	9.304632188	8.27782925	9.347172311	8.902553195	10.46779541	9.634171045	9.199492041	9.843809881	7.900497974
C00020	8.493720228	9.561130275	8.747373757	9.563400988	8.201162153	8.517863383	10.00252115	8.56418524	9.256790026	9.290820092	8.81620876	8.637843547	9.224795521	8.731817151	8.961529602	9.029586472	8.742974705	8.662083473	7.978314854	9.415396267	9.097955067	9.005968022	8.923827587	8.726386802	8.490971345	9.252188686	8.620830195	9.223119718	9.574137297	9.182017706	8.587718489	8.972758613	9.319017984	10.0298234	9.866593109	9.506270496	9.892007482	8.33535485	8.033747344	7.933778777	9.219622768	8.833001647	8.167927676	9.509844587	8.906590106	9.580836735	9.131731641	10.01594412	9.998865712	8.554798378	9.176017351	9.605693952	8.880954445	8.75843274	8.545217215	8.971315475	8.723376512	9.104290415	9.573176414	9.230334275	9.102475894	9.191242675	9.205179407	9.12206142	9.302460495	9.190697307	9.070992861	10.55240615	9.467433175	8.873888394	8.951485143	8.303127777	8.589761423	8.639171083	8.184253557	8.810869004	9.094174047	9.848058746	8.719538687	8.113134618	7.940252507	8.361058978	8.798078469	8.98370654	8.041291064	8.280203909	9.825291073	9.743849756	8.812969346	8.935783739	9.714071698	8.594067362	8.306727818	9.501793819	8.736986394	10.01466951	9.700232627	9.731534382	9.000588467	8.908958485	9.007360202	8.531080251	8.43235448	8.688492707	9.422063957	8.671521038	9.269860407	8.500174143	8.524770008	9.273276095	9.5561546	9.44473335	9.420703574	9.833134962	9.481132425	9.523928548	9.360626076	9.561279919	9.3420423	9.004716512	9.111472743	8.966140548	8.811462553	8.934178862	9.652694159	9.433440108	9.18304578	8.738968051	9.124183748
C00022	8.868136709	9.2167581	8.917551233	8.516140091	9.011609912	9.326109205	9.494688697	9.207356722	8.76247331	8.857940724	9.519975391	9.078319936	9.098822884	8.488928953	9.274237181	9.107251732	9.043224341	8.918686514	9.170558073	8.810169664	9.544214057	9.010078803	9.165779723	8.569604288	8.751111271	9.240458139	9.005816102	8.96228548	9.199852122	9.267667735	9.378060948	8.960547768	9.368078965	9.351208964	8.983033453	9.603403931	9.951681903	8.394068438	8.584169683	8.976637746	9.409382241	8.589837908	8.544901665	9.047760676	8.500879373	9.060938171	7.872820463	9.260569519	9.440020052	8.571942498	9.116627948	9.060153609	8.965324127	9.779385205	8.694624995	9.160469957	8.791363099	9.0392365	9.632777112	8.514018414	8.917473664	8.821396614	8.854457748	8.602447608	9.154053483	9.009527024	9.101682295	8.518537952	8.625042584	8.920680215	9.170718569	8.519626007	9.056713799	8.997140574	9.315390239	9.092848347	9.408490135	8.807253013	9.012439204	9.04451651	9.002925869	9.058197634	9.016034631	9.043815955	8.9370583	9.54788784	8.348381076	8.666574385	8.993991237	9.097241625	8.749240145	9.000367583	9.123048175	8.682182834	9.15650609	9.194778559	8.95805134	9.05010455	8.561514934	8.830124207	8.883923734	7.759008461	8.95581857	8.269807741	9.290640782	9.278890275	8.731684628	9.053574491	8.808076355	8.636354836	9.162119429	8.870275415	9.284688959	8.868560862	8.897358293	8.962915868	9.276843045	8.955041151	9.236293493	9.14760305	8.845966321	9.289255699	8.934688466	9.058455822	8.902912325	8.818018702	9.08241573	9.12014171	9.120888826
C00025	9.147457385	8.41950691	9.177199708	8.475886201	8.055903428	8.827165794	8.255998157	9.353413062	8.952147396	7.494249578	9.388189165	8.320054631	9.817345931	9.529644416	8.399079897	9.647751149	9.098225055	9.166017634	9.124255712	8.340898715	9.77434059	8.668805389	8.238294088	8.427348824	9.085594468	8.386295391	10.52048365	8.403227117	8.963671258	8.409095269	9.741060166	8.514348413	9.625955978	9.455281585	8.54935289	10.10139626	9.934227149	8.686838228	9.563392013	10.78749757	8.430711744	8.717094037	9.474578105	8.590542858	9.296107413	9.222180264	9.870738318	8.910778814	9.124408086	10.03280967	8.409472367	9.179278605	7.862763598	9.364071195	9.195752092	8.245909929	10.78830836	8.970978658	10.48445422	8.476092565	8.067261813	9.462632011	8.941709387	9.183578817	9.097546199	9.362479908	9.506291642	8.88772934	9.712642089	9.968317068	7.37777349	10.30352368	9.502267311	8.827790306	8.425324701	9.028525046	7.804039968	10.21583077	8.211442828	8.184733469	9.111543407	9.013749066	8.208058368	9.8634222	9.636241333	7.874250324	9.506199439	10.99393331	8.767078552	8.106415075	11.2685775	8.67443073	8.822732419	9.176265492	8.288477155	8.408376561	8.288194812	7.95395439	8.28589172	7.477072208	8.655218991	8.561472174	7.189280002	9.039507048	9.679845239	9.22211823	8.514175035	8.604075056	8.56998685	9.064021879	8.745504676	8.824279925	8.700013788	9.031353621	9.102660616	9.309856152	8.154865726	8.662525091	8.904924604	8.223189143	9.262262098	8.311915799	8.985200027	8.497331443	9.48212	9.34926633	9.343471792	8.802292887	9.338383738
C00026	8.795196152	8.862527952	8.933651884	8.731816273	8.894546451	8.882184244	8.663016122	9.066011366	8.631226164	8.760421063	8.923249144	8.859213085	9.18425789	9.473467843	9.317690256	9.296511495	9.216016722	9.408919297	9.426207946	9.365424273	9.002300447	9.255637365	9.375682733	9.018391232	8.9602849	8.931061002	9.072501635	8.930657919	8.55971228	8.640736517	9.132361605	8.789532422	8.605290956	9.0626556	8.651025355	9.124254111	8.3130212	8.991708031	9.614884967	9.521876457	8.954185897	8.687774538	8.908427261	9.06790818	8.780732644	8.924614145	8.881270123	8.859451334	8.838016177	8.838841968	8.815683952	8.837048351	8.812518554	9.104790775	9.422265847	9.003119131	8.878103583	8.868982684	8.824669541	8.764321563	9.049427576	8.999872721	9.199323202	9.49577417	9.343614193	8.802525075	9.504399062	7.709940693	9.031849826	9.182508391	8.661740704	8.650579915	9.337022768	9.113776001	9.156763841	8.886352161	9.204194218	9.057736821	8.877163573	9.125090201	8.7573047	8.989074441	8.84828535	8.810573359	9.090164996	8.921440382	8.942583191	9.4144543	9.48938856	8.363105839	9.011247793	9.123257619	8.884369361	8.939244584	9.223839359	9.089416379	8.740599783	8.699164814	8.74209925	8.427370073	8.968604621	8.774616299	8.821994348	9.362281875	9.71650072	8.953647935	8.554007536	8.759931069	8.621659882	8.964508114	8.619836732	8.615649261	8.867406382	8.294710847	9.151884158	8.750137511	8.883693466	9.006010725	9.015856859	8.607750591	8.752459918	9.094469895	8.706675333	8.989717586	9.383430169	10.09188877	9.090001649	9.336141676	9.095470985
C00031	9.765474057	8.21343863	9.000208202	10.35475305	9.113478679	9.600309467	8.245056817	7.737093233	6.909008527	9.837131469	10.08133665	8.623885652	9.857789486	10.19146521	9.658466175	10.25046251	8.958378623	8.490849889	8.567017475	6.800344614	9.240083436	8.341828722	9.605402082	6.492856337	9.358236371	7.436911377	10.17671146	7.283972383	8.579067437	9.989669442	9.178210287	9.98483314	10.19559771	9.423889002	8.965417071	10.07164733	9.97766807	9.545227279	9.906500237	9.013096259	9.210154897	7.404570578	8.262416142	10.4457214	9.99889342	8.853848044	9.127596283	7.83346161	10.16650863	9.70356059	10.31036579	9.968457465	8.507153784	10.39952023	9.239219118	8.929957338	9.940581805	8.763248596	10.01549365	8.424212612	8.916180768	7.734921241	9.173391071	10.40066988	7.284672249	7.813586548	10.29077266	9.572596628	9.042853191	8.986677132	8.077318774	9.016147999	9.938849791	9.262581144	8.878424368	11.00790239	8.058238159	8.81745596	9.185070794	8.857192802	9.567966475	10.21581718	8.613871972	9.201524762	10.39377211	9.976659477	10.40432497	9.288738509	8.301746043	8.275396189	9.390363531	8.308889619	9.157774147	9.579630064	9.016817621	7.662023245	8.975951737	8.08310307	7.786773457	8.706073702	8.806619092	8.967817953	8.622167036	7.957297088	8.860887012	8.359292529	7.70430646	7.748780741	7.832386205	8.821265566	8.650057872	7.788457145	9.492448973	8.242260669	8.600747861	7.889370744	9.025934884	9.260858466	8.670123879	7.713094058	7.981916853	9.079114686	9.565824232	9.388290493	9.392508173	8.33232138	8.971800195	8.270233292	8.529741726
C00041	8.965375046	8.877990177	8.891648107	8.960204955	9.474990137	9.008111695	8.956518395	9.306833867	8.83197833	8.924733046	9.036048551	8.909261288	9.066301362	8.770421755	8.895569822	8.997969728	8.759829857	8.992532125	9.229562634	9.172003392	8.649123631	9.108229336	9.328439724	8.942105416	9.078688105	8.916452302	9.044464465	9.108897645	8.623781235	8.870483248	9.208203838	8.828867047	8.822619004	8.965235329	9.135920519	9.38076474	8.821809032	8.982386214	9.220468181	9.192780258	8.921532556	9.104009645	8.890287506	8.867556546	8.847819809	8.791626507	8.661884995	9.01352954	9.295642991	9.060767322	9.063991099	8.940265914	8.516897504	9.218380745	8.81852916	9.062809749	9.166595795	9.10583291	8.998008477	8.862159386	8.859630547	8.909063324	9.102420733	9.12477692	9.241344015	8.988208711	9.375534718	8.908320811	8.751718652	8.814122414	9.149838136	8.704844261	9.044454232	8.927744309	9.259064073	9.039366153	9.238811745	8.829710987	8.983269354	9.061631134	8.973381787	9.025897143	9.081244109	8.979521161	8.982695303	9.339462972	8.592588025	8.795951326	9.075325729	9.027757758	8.845393653	9.040830696	9.069430473	8.838208832	9.105499004	9.026165595	8.748903529	8.956537216	9.041474654	8.858729802	8.952609234	8.845010852	8.962547672	8.839836708	9.147524702	8.984642418	8.739540717	8.897069995	8.819275384	8.873516176	9.042429891	8.929961484	9.284347205	8.952317926	8.932792239	8.988528608	9.203027097	8.994393198	9.116108219	9.053748193	8.892440676	9.233638053	8.982601597	9.036109715	8.972582537	8.882300075	9.070415443	8.950302859	9.059958936
C00042	8.201377391	9.457722422	9.143380536	7.789188177	8.618759857	9.078378124	10.30518369	8.153223999	7.901313616	7.456590742	8.57563501	10.07412989	7.933674115	8.227158951	8.658774466	9.414791705	9.530754342	9.495689438	9.07777973	8.563251215	8.804527788	8.006966022	8.042111836	8.752335902	8.15782795	8.825975208	8.143710292	9.456601323	9.277120603	9.595854407	10.4042464	8.826499291	9.166132933	11.36538659	9.569561426	10.49257486	10.4587967	8.374134932	8.414475322	7.977207453	8.381005181	7.977687743	9.408920718	8.343397103	8.072528933	10.07058394	6.4896664	10.03904555	10.66051889	8.952493573	8.154109139	8.568719189	7.702834858	9.530897148	9.222860538	8.697066926	8.862102181	9.459093248	9.564267362	8.352053132	9.670631427	8.250536527	9.221870132	9.795789247	10.10164286	8.275323991	8.463374397	11.09160723	8.614657485	9.515614405	8.739756321	11.13083957	9.641385133	10.19721414	9.015758123	9.474147361	9.185750051	8.969646324	8.020648521	9.203285086	8.585344338	9.933766977	9.202663889	6.066748216	8.529598354	8.313924789	9.254699989	9.976160646	9.148539182	8.789600628	10.8603278	8.601586374	8.792810098	9.609067123	9.161829997	10.11614738	10.07327756	8.888228519	9.058417616	8.153213866	8.338331193	7.73426963	7.960045222	8.023904963	9.746763661	8.401224117	9.086404838	8.896797593	7.968702629	8.440870622	9.705408864	8.813593358	9.725557576	8.225819571	9.334575182	8.812826988	8.771552176	8.71742295	8.168938509	8.454400639	7.608260803	9.144479937	8.523447045	8.420763713	9.207680164	10.25730673	9.161373321	7.971503863	9.184226214
