#NAME	K056V0	K072V0	K079V0	K083V0	K084V0	K085V0	K086V0	K147V0	K096V0	K098V0	K100V0	K101V0	K105V0	K107V0	K110V0	K111V0	K112V0	K119V0	K121V0	K122V0	K131V0	K136V0	K138V0	K144V0	K154V0	K155V0	K157V0	K169V0	K170V0	K171V0	K173V0	K174V0	K177V0	K179V0	K180V0	K182V0	K184V0	K188V0	1040V4	J095V4	1107V4	X003V4	1004V4	X004V4	S106V8	S099V8	C220V8	C402V8	C422V8	K054V0	K055V0	K057V0	K060V0	K194V0	K003V4	K005V4	K019V4	K037V4	C532V8
6Ckine	3.035165534	0	0	3.409676845	3.016507985	0	2.773379969	3.217441454	1.663241794	0	2.54241165	3.127095072	0	3.25483976	2.494219406	2.811770241	3.267161356	0	2.534273609	0	3.435392362	0	3.09313686	0	0	0	0	0	2.918238053	0	0	0	3.185905418	0	0	0	2.870893755	2.50583391	0	1.084313007	0	0	0	0	2.644615533	0	0	0	0	0	0	2.595121378	3.10527854	1.836041476	2.032641324	0	0	0	0
Axl	2.21574407	2.080326063	1.98171474	2.199774951	2.080628379	1.541871496	1.620864442	2.353052024	2.040643282	2.298438615	2.142260993	2.308520129	2.295537064	2.59309575	2.228374621	2.145305174	2.53403144	2.444470337	2.492463858	2.532892232	2.697041624	2.525152997	2.595014442	2.431004141	2.245154268	1.989680778	2.382025484	2.135215171	1.961386045	2.288731262	2.401717105	2.400271267	2.497623078	2.26881886	2.226247417	1.614922924	1.808269105	1.707532813	2.004355334	2.058421316	2.06489561	1.875872852	2.20430719	2.101381157	2.270323346	1.976223716	1.678784461	1.777983065	1.5966305	2.210332605	2.427189307	2.388711745	2.474957669	1.412836581	2.121604723	1.871610206	2.126588509	1.933829822	1.849726781
BTC	3.035087365	1.445615565	1.95632174	0	0	1.04730751	0	2.946045315	2.659140745	2.823444274	2.956314134	2.202726755	2.628532312	2.391389783	2.925956762	2.79169064	2.977327816	2.774314155	2.808022038	2.767545676	2.913382691	2.463314674	2.933965371	2.790003856	0	0	0	0	0	1.740899078	0	0	3.102269256	2.403198587	0	0	2.062674165	0	3.028370754	2.844969078	2.865550048	0	0	0	0	0	0.970701746	0	0	2.757734488	2.857686408	2.653326884	2.709360392	2.885522655	1.846913722	0	0	0	0
CCL28	1.742480213	0	0	0	0	0	0	0	0.640800297	0	0	0	0	1.442274598	1.197955262	1.09906448	0	1.240000875	0	1.137863853	1.740379846	0.771240079	0	1.11276762	0	0	0	0.88633704	0	0	0	0	1.291713961	0	0	0	0	0	1.216593407	0.486898236	1.140812907	0	0	0	0	0	0	0	0	1.34088816	1.543344961	1.53472208	1.420670109	0.722034783	0	0	0.600855296	0	0
CTACK	3.037184935	2.540998817	2.528141815	2.766483151	2.702261702	2.296779372	2.911420866	2.938721618	2.880054102	3.08804672	2.810572643	2.873666907	2.689956333	2.904410744	3.020894333	3.033120785	2.941072275	2.579936554	2.750748618	2.889350407	3.137429535	3.218250101	2.841071646	3.017119341	2.75145718	2.785688609	3.149090494	2.849560274	2.972260548	2.828178602	1.802250675	2.109338029	2.879015388	2.685247232	2.696715332	2.760123577	2.917229005	2.761017771	2.911610046	2.739865718	2.81529446	2.688765731	2.974254208	2.788023833	3.029684777	2.807578142	2.926035694	2.912880771	2.462358766	2.82961427	2.915620751	2.835331657	2.940670524	2.706298511	2.833455948	1.846130311	2.513806628	2.775753564	2.778611644
CXCL16	3.498989893	3.392479468	3.322074867	3.419929748	3.367944094	3.428403008	3.323055673	3.461032873	3.474067448	3.467790483	3.443468179	3.421384206	3.359088944	3.516080462	3.804957295	3.564849801	3.493685246	3.466282277	3.440312822	3.384953396	3.541658876	3.483465585	3.494978713	3.505265769	3.365375344	3.377536756	3.425063934	3.486117229	4.104148408	3.459417568	3.158531575	3.385039429	3.656118417	3.480552247	3.45493925	3.406366012	3.519956531	3.456764121	3.510773426	3.51849662	3.523271882	3.440016382	3.449574116	3.449588322	3.587563986	3.572059054	3.534859375	3.523244125	3.333872408	3.472569483	3.423223533	3.400218586	3.511423497	3.509716624	3.554013174	3.426573448	3.440083491	3.416219158	3.413988634
ENA-78	3.235886734	3.189789482	3.33106771	3.29866179	3.14182477	3.365688127	3.12459858	3.181497775	2.360837946	2.564829337	2.937915862	3.197907942	2.493905227	2.764831401	3.482997727	3.346196859	3.122102978	2.852474153	3.331444273	3.081188084	3.293306592	2.804776058	3.208470065	3.310923	3.072857663	2.997484107	3.306627905	2.8368785	3.024195869	2.939846838	2.977325279	2.622059487	3.112811494	2.983130952	3.127651765	3.366237499	3.289860246	3.249190968	3.1264582	3.336866457	3.284168639	2.955469897	2.537339995	3.255207895	3.272299577	2.682785156	3.283736043	3.119775262	3.037997007	3.419682549	3.494514085	3.248508996	2.897047449	3.072836202	3.031866368	3.360600644	3.218292905	2.856086908	3.337552097
Eotaxin-3	2.511923019	0	0	0	0	0	0	0	0	0	0	0	2.726140988	1.883660213	0	0	2.131751736	1.486537531	1.482570934	0	2.497528616	1.540069338	0	0.478854727	0	0	0	0	0	0	0	0	3.09864498	0	0	0	0	0	1.479470344	0	0	0	0	0	0	0	0	0	0	0	0	0	2.352410762	2.750072696	0	0	0	0	0
GCP-2	1.719339103	1.703871482	1.453823828	1.802511893	1.281847673	1.4381578	0.884753901	1.290940277	1.376059602	0.870498012	1.521978734	1.256166998	1.699791576	1.512898992	2.238150747	1.888375027	1.991914345	1.25652544	1.402500238	1.02084424	1.891201567	0.849194809	1.321297565	1.458082584	0	0	0.893000518	0.835611043	0	0	0	0	2.108281901	0	0	0	0	0	1.186310028	1.905129723	1.620514088	0	0	0	0	0	0	0	0	1.014192176	1.30886239	1.60035712	1.410618349	2.29265896	0	0	0	0	0
GRO	2.976931545	2.809277476	2.864071927	2.921945427	2.583649249	2.823154159	2.722192537	2.882399034	2.50125449	2.677095137	2.812515672	2.79994457	2.780956302	2.416916555	2.92539342	2.906526912	2.943877292	2.572230124	2.790623908	2.650510408	2.95191816	2.115921963	2.952960597	2.704523913	2.192775708	2.474217548	2.769450295	2.666302275	2.518271213	2.702843812	2.462672504	2.576089448	2.886021347	2.714562525	2.702977252	2.877804806	2.507818686	2.639611204	2.466074749	2.732115914	2.826681378	2.597207947	2.269037089	2.635886976	2.61571324	2.594733489	2.762716769	2.111240274	2.332079323	3.014599558	2.777875672	2.902572943	2.78668611	3.16082314	2.575412327	2.752838378	2.796057073	2.475214683	2.629931132
HCC-1	3.028768721	3.071008162	2.994046228	3.016414241	2.956733353	3.041550338	3.025425275	2.967453434	3.033633298	3.028307252	3.050199719	3.008996777	2.9251258	3.043556921	3.001026817	3.013302277	3.024465393	2.984136685	2.98072104	2.924532885	3.002332602	2.988031075	3.006043432	3.029026617	2.969340931	2.996514444	3.05199327	3.014399409	3.012387935	2.989391983	2.987027037	3.013442233	3.055316592	3.04174019	3.019175366	3.047496021	3.089514024	3.110108354	3.047083916	3.028916121	3.044920381	3.016549101	3.037897762	3.003932336	3.042836687	3.056697015	3.107844116	3.11230594	2.984995036	2.997696007	2.983184948	2.88725261	2.988686066	3.041423234	2.9573061	3.035768618	3.025581401	3.050301694	3.043222128
HCC-4	3.261020136	3.215925938	3.232167631	3.205855855	3.141671207	3.187109834	3.192167484	3.226081554	3.194166807	3.293109915	3.236299273	3.285971661	3.154151884	3.195903058	3.254999973	3.120231949	3.182298342	3.001711375	3.191661603	2.750926657	3.245659191	3.217379403	3.222140666	3.206788248	3.149414913	3.080074697	3.108651086	3.218152015	2.94964713	3.197708514	3.208770686	3.179077952	3.257771118	3.234771096	3.200809466	3.191004067	3.267878767	3.293485564	3.314312236	3.26801169	3.3067086	3.089811379	3.245813431	3.182210369	3.230217978	3.169901323	3.22012098	3.241110606	3.19893559	3.182317057	2.922564481	3.164197354	3.247750847	3.231403427	3.139421249	3.314539314	3.187897936	3.125083866	3.225209918
IL-9	4.008340621	2.680626832	2.783369578	0	0	2.72203916	0	3.525849071	3.66221576	3.320546008	3.66983951	3.609592895	3.366151518	3.558834357	3.887404431	3.773941674	3.768200617	3.724845122	3.345782885	3.364306354	3.505264611	3.807642622	3.753821574	3.785243179	0	0	0	3.3510569	3.645115599	3.550559268	0	0	3.751612407	3.872372191	1.099939632	3.619980943	3.581303542	3.567415497	3.964630445	3.867837051	3.695364468	3.296430226	3.37330469	0	3.25985329	0	3.624389522	0	0	3.623235619	3.714097138	3.087508116	3.717206681	4.072244408	5.178655982	0	0	0	0
IL-17F	2.958097409	3.54760112	3.044739063	1.556016421	2.284732461	3.222135906	2.724398533	3.122969832	3.624184018	3.175461176	3.309225116	2.895388096	2.985338266	3.70234562	4.4582456	3.716314692	3.345316298	3.170365846	3.088348983	3.000640323	4.1329538	3.117678997	2.899104407	2.823624584	3.269819389	3.791009825	3.649125923	3.203030375	5.252448208	2.46894725	2.69956911	3.038229945	4.376768591	3.355034964	2.654458392	2.942160424	3.902715993	1.114813514	3.05007666	3.447444716	3.093698429	0	3.070317862	2.605869792	3.697686183	4.216770713	2.498968863	3.635154534	3.67407459	3.104446889	3.053989391	2.899804445	2.991741301	3.820136171	3.961296472	3.097867157	3.091760881	3.209099739	0
