#NAME	1004V4	1040V4	1107V4	C220V8	C402V8	C422V8	J095V4	K056V0	K072V0	K079V0	K083V0	K084V0	K085V0	K086V0	K096V0	K098V0	K100V0	K101V0	K105V0	K107V0	K110V0	K111V0	K112V0	K119V0	K121V0	K122V0	K131V0	K136V0	K138V0	K144V0	K147V0	K154V0	K155V0	K157V0	K169V0	K170V0	K171V0	K173V0	K174V0	K177V0	K179V0	K180V0	K182V0	K184V0	K188V0	S099V8	S106V8	X003V4	X004V4	C532V8	K003V4	K005V4	K019V4	K037V4	K054V0	K055V0	K057V0	K060V0	K194V0
6Ckine	12.81119277	11.41932605	13.1897513	7.496541501	12.49369755	12.15969875	12.43760547	11.71467888	10.74431152	11.86889536	13.37607206	13.1965381	12.81821115	12.27936575	0	13.97763226	12.19456926	12.74563875	12.22621048	12.52051055	13.08148278	11.91154301	14.00849055	12.65107782	12.09062219	13.12810707	0	13.32476479	12.80345683	13.15645925	13.44158909	12.11037744	9.41664957	13.50432326	11.10554145	12.43879844	7.711776277	13.25859148	12.79862436	14.01407178	13.4270714	13.09063411	11.10653004	11.08411258	0	11.4742291	10.13783352	11.48981359	12.39150153	13.35161884	13.60065095	8.455772421	12.38206533	9.338431975	11.78560247	11.54508865	12.31310683	9.903587089	12.06206121
Axl	5.638602248	4.121214231	6.115190302	0	5.777689925	7.109507702	5.721558322	6.134043354	1.844754804	0	5.431341123	3.204868826	7.235169085	0	0	6.662816902	0	2.049715405	5.723325906	1.617838606	5.820140522	0	6.868006273	6.054809229	0.498674962	7.741434382	5.11646985	9.049482915	5.682491597	6.474964813	6.480481178	6.593549034	5.47908749	7.27285094	4.906608718	5.844948855	4.311295527	7.102820458	6.599301898	8.230598916	6.259598727	6.5819963	6.144149053	0	0	7.692876118	4.897483711	7.58461084	2.229795914	5.986613622	9.85045696	6.01543585	7.402754301	6.596276131	7.37509563	7.403146055	7.343342086	8.472223735	9.119743292
BTC	6.846405465	0	3.145267473	0	0	6.42452199	4.052473634	0	0	0	5.673744198	0	0	0	0	0	0	0	0	0	6.907734616	0	7.323619338	8.416732293	0	4.010930436	6.649482212	5.220377805	0	0	6.018945359	0	0	7.00533107	7.671072717	7.374596655	9.827134846	5.082512433	8.453165884	9.36700518	3.512879894	7.281154532	0	0	0	0	0	0	8.420832643	5.234574089	9.325529489	0	0	0	0	0	0	0	0
CCL28	10.44517596	8.247158849	10.67763264	8.631135082	11.10948435	9.836989604	9.637532888	9.465137575	8.438320514	10.25749682	10.21804857	11.09562407	10.53288256	9.35063724	10.40133178	10.47232649	10.08772844	10.94876129	9.603607263	10.2037362	9.011370379	7.836563597	11.06738298	9.513980821	10.13493345	10.08311139	0	9.286817856	9.614350324	10.82278882	11.05019671	9.40459299	7.394870986	9.82534257	10.39125273	7.782607179	0	8.17674405	10.59572281	8.305750995	11.52547513	10.34169352	8.785974558	8.478114477	0	10.3351393	9.460994148	9.059944511	9.018546791	11.35988081	11.37379631	8.665698799	10.18058844	10.06620683	9.369969799	8.708319011	9.29668975	9.340729693	10.0790525
CTACK	6.054119382	4.541866927	6.673779374	0	4.138404603	2.913862153	4.129686449	0	0	0	5.211620649	5.074783624	1.370425572	5.303950173	0	7.47418344	0	0	6.872240015	4.57343054	0	4.975848079	6.040314293	6.849437294	2.915556382	5.166327813	4.159650547	7.154618915	6.327559115	4.754646866	4.602305783	1.94553498	4.343806426	5.478085968	6.095088966	5.285518779	5.027661347	7.593127068	7.940419508	7.389486783	6.386794024	5.321455614	4.915867573	0	0	0	0	5.589169122	5.755047136	6.441916761	11.89613929	0	0	0	1.896678149	0	4.323825961	0	3.632934391
CXCL16	10.73091813	10.39171485	11.16249525	11.33896404	10.96007658	11.51504555	11.31832125	11.27421444	11.00266316	9.526537021	11.6007569	10.6374209	11.40770126	11.1313413	0	11.87566226	11.76812401	11.10719941	11.70396007	10.41506592	11.89468039	11.17296946	11.84786451	11.1948805	10.44222111	11.6156708	6.338351906	11.52021662	11.49490187	11.33775909	11.30310296	11.47665756	10.94896763	11.27935455	10.67299223	11.65133845	7.953019559	11.80479665	11.59820444	11.92478509	11.20730203	10.82734597	11.73817923	11.1712236	10.95294512	11.24793261	10.32511757	11.34499315	11.19755443	11.43670508	14.3147724	10.60956153	11.61893634	10.91482511	11.61802877	11.81317183	11.5551795	11.57008294	11.78871905
ENA-78	11.50390136	6.771174416	11.10723205	11.07393832	10.83591411	10.63468253	9.241030815	12.18941529	11.26678445	11.75344188	11.80278783	8.717329945	10.81739043	10.78179852	12.25392553	11.25614601	10.8763102	10.40490635	11.37243998	9.95811726	11.12017381	10.1262172	11.30235555	10.84842335	9.333556867	12.35156944	4.617967042	11.16462769	11.55055321	10.42541323	11.87616461	11.57975877	11.33668605	11.0664573	11.80345096	10.73686968	5.159728527	10.60141487	10.85770524	10.75401575	10.34973293	10.69983046	10.30634464	10.20227554	0	10.59331604	10.03016213	11.78505027	10.62186297	11.36961745	11.99313628	9.32250543	11.25226491	10.95915649	9.789014693	10.97440881	9.983721311	11.67561128	11.65796861
Eotaxin-3	0	0	0	0	2.278131751	0	0	0	0	0	0	0	0	0	0	7.288754853	0	0	0	0	0	0	0	0	0	0	6.855234575	0	0	0	0	0	0	4.06037188	7.534283624	0	7.415459452	7.690291353	6.239567419	8.565532285	0	6.092434154	0	0	0	0	0	0	0	0	10.21707183	0	0	0	0	0	0	0	0
GCP-2	14.1024014	12.95000872	13.21718205	11.48354811	11.87063517	14.11705692	14.09353904	14.09610934	13.82309533	13.31051039	14.62246898	14.01487016	14.10125025	14.39750523	6.309259057	13.89033751	14.02947328	13.95260486	14.27238874	14.15617141	14.35723855	14.18252785	14.37738606	14.73405316	13.7343414	14.51036827	5.055359565	14.37668132	14.29328698	14.23343085	14.37197589	14.31278136	13.96343592	13.94467366	14.18557323	14.33356097	5.797101601	14.54484862	14.23370415	14.5274105	14.46212936	14.12399994	13.91171698	12.80353344	12.2735383	12.8144344	11.56152236	13.58187117	14.51626201	13.701611	13.92393796	12.84490936	11.6599453	12.29937477	13.93820624	13.3893498	14.41980841	13.43264415	13.79776723
GRO	10.24351665	9.471212805	10.11340541	10.17381028	8.605871972	9.89523949	10.66889958	10.11623608	9.764853536	9.70258129	10.87708473	10.53904427	10.0663445	10.61834338	9.991486084	9.980619476	9.943258809	9.997229529	10.42610933	9.490513808	10.69651491	10.8119548	10.78462453	10.84110437	9.864838252	10.1050378	5.683365164	10.47792089	10.72213904	10.30173165	10.09764023	10.42338702	10.37899052	10.08523086	10.69469757	10.86750185	9.108706117	10.98031374	10.81016331	10.97912839	10.81013002	10.30355093	10.14564035	9.634698961	10.44648479	9.178881196	9.340738643	10.48733345	11.14926811	9.614432324	10.47940416	9.061977665	9.459963822	8.751329217	8.960221294	10.4000209	10.72052946	9.312980316	9.664169517
HCC-1	8.700550805	8.454495482	8.940611386	8.726187627	8.918719338	8.392168614	8.155976845	9.109262457	8.362987593	7.582074901	9.461337691	8.308711816	8.806910657	9.027494665	2.966825745	9.859840071	9.096197874	8.246049656	9.131003362	7.733930092	9.047963002	7.38634291	8.57982049	8.932412366	6.615372756	9.52889453	3.880544232	9.284553527	9.093107678	8.946232601	8.780772973	9.253040728	8.337170423	9.141286745	8.556214872	9.415781057	7.248502126	9.761859462	8.875360812	9.549817146	9.390119842	8.574126819	8.849861189	9.235016687	7.536999821	9.274722705	8.939203892	9.162037715	9.126033388	9.331667976	10.62301216	8.491807035	8.622551877	8.69773596	8.634550219	8.425305462	9.30132981	9.637847773	9.67197262
HCC-4	4.165668956	3.358240377	5.40941284	0	0	3.497549214	3.226874035	1.707415842	0	0	0	0	3.051079801	0.170313882	0	3.980865955	0	1.400977408	1.325271523	2.293749053	0	3.301478792	3.607938593	1.843430025	2.894888621	3.276889425	2.537930399	3.712314153	0.489819475	4.877167807	2.83097657	0	4.020335756	4.095395531	5.482520075	1.784457849	4.640418376	2.664945134	4.382423914	5.697453674	1.667049771	3.830471679	3.588879268	0	0	0.620855555	0	2.194938142	2.924752296	4.344921878	7.84952996	0	0	2.761557829	4.202812263	0	2.77809586	3.508976335	2.346737586
