Treat_Mediator_Y	ACME.p	prop.mediated
MetaB.MEantiquewhite2_HostT.MEblack	2.00E-16	1.016
MetaB.MEantiquewhite2_HostT.MEburlywood4	2.00E-16	0.467
MetaB.MEantiquewhite2_HostT.MEfloralwhite.1	2.00E-16	1.219
MetaB.MEantiquewhite2_HostT.MEorchid2	2.00E-16	0.39
MetaB.MEblack_HostT.MEblack	2.00E-16	0.489
MetaB.MEblack_HostT.MEfloralwhite.1	2.00E-16	0.998
MetaB.MEblack_HostT.MEpowderblue	2.00E-16	0.514
MetaB.MEblack_HostT.MEroyalblue	2.00E-16	0.698
MetaB.MEblue2_HostT.MEfloralwhite.1	2.00E-16	0.963
MetaB.MEblue2_HostT.MEsnow2	2.00E-16	1.3
MetaB.MEcoral_HostT.MEblack	2.00E-16	0.461
MetaB.MEdarkorange_HostT.MEblack	2.00E-16	1.11
MetaB.MEdarkorange_HostT.MEfloralwhite.1	2.00E-16	1.18
MetaB.MEdarkorange_HostT.MEroyalblue	2.00E-16	1.6
MetaB.MEdarkorange2_HostT.MEsnow2	2.00E-16	1.62
MetaB.MEdarkred_HostT.MEblack	2.00E-16	0.907
MetaB.MEdarkred_HostT.MEfloralwhite.1	2.00E-16	-0.843
MetaB.MEdarkred_HostT.MEorchid2	2.00E-16	-0.577
MetaB.MEgreen_HostT.MEblack	2.00E-16	-0.687
MetaB.MEgreen_HostT.MEfloralwhite.1	2.00E-16	-0.762
MetaB.MEindianred4_HostT.MEblack	2.00E-16	-1.53
MetaB.MEindianred4_HostT.MEbrown2	2.00E-16	-1.75
MetaB.MEindianred4_HostT.MEburlywood4	2.00E-16	-1.36
MetaB.MEindianred4_HostT.MEfloralwhite.1	2.00E-16	-1.58
MetaB.MEindianred4_HostT.MEolivedrab1	2.00E-16	-1.25
MetaB.MEindianred4_HostT.MEorchid2	2.00E-16	-1.23
MetaB.MEindianred4_HostT.MEpowderblue	2.00E-16	-1.97
MetaB.MElightcoral_HostT.MEburlywood4	2.00E-16	0.795
MetaB.MElightcoral_HostT.MEfloralwhite.1	2.00E-16	1.45
MetaB.MElightcoral_HostT.MEsnow2	2.00E-16	1.72
MetaB.MEmidnightblue_HostT.MEblack	2.00E-16	0.759
MetaB.MEmidnightblue_HostT.MEfloralwhite.1	2.00E-16	1.33
MetaB.MEmidnightblue_HostT.MEpalegreen	2.00E-16	0.602
MetaB.MEmidnightblue_HostT.MEpowderblue	2.00E-16	0.97
MetaB.MEmidnightblue_HostT.MEsnow2	2.00E-16	1.76
MetaB.MEorange_HostT.MEblack	2.00E-16	-0.945
MetaB.MEorange_HostT.MEfloralwhite.1	2.00E-16	-1.06
MetaB.MEpalevioletred3_HostT.MEblack	2.00E-16	0.679
MetaB.MEpalevioletred3_HostT.MEcyan4	2.00E-16	0.425
MetaB.MEpalevioletred3_HostT.MEfloralwhite.1	2.00E-16	0.915
MetaB.MEpalevioletred3_HostT.MEpalegreen	2.00E-16	0.462
MetaB.MEpalevioletred3_HostT.MEroyalblue	2.00E-16	0.902
MetaB.MEpalevioletred3_HostT.MEtan1	2.00E-16	0.879
MetaB.MEtan4_HostT.MEblack	2.00E-16	-0.561
MetaB.MEwhite_HostT.MEblack	2.00E-16	0.38
MetaB.MEwhite_HostT.MEroyalblue	2.00E-16	0.666
