Treat_Mediator_Y	ACME.p	prop.mediated
MetaB.MEantiquewhite1_HostT.MEbisque4_NEU	2.00E-16	1.073
MetaB.MEantiquewhite1_HostT.MEblue2_NEU	2.00E-16	0.958
MetaB.MEantiquewhite1_HostT.MEblueviolet_NEU	2.00E-16	0.92
MetaB.MEantiquewhite1_HostT.MEbrown_NEU	2.00E-16	1.155
MetaB.MEantiquewhite1_HostT.MEbrown3_NEU	2.00E-16	0.713
MetaB.MEantiquewhite1_HostT.MEchocolate2_NEU	2.00E-16	0.597
MetaB.MEantiquewhite1_HostT.MEchocolate4_NEU	2.00E-16	0.42
MetaB.MEantiquewhite1_HostT.MEcoral_NEU	2.00E-16	0.6
MetaB.MEantiquewhite1_HostT.MEcyan_NEU	2.00E-16	0.878
MetaB.MEantiquewhite1_HostT.MEdarkgoldenrod4_NEU	2.00E-16	1.236
MetaB.MEantiquewhite1_HostT.MEdarkgreen_NEU	2.00E-16	0.712
MetaB.MEantiquewhite1_HostT.MEdarkgrey.1_NEU	0.186	0.18
MetaB.MEantiquewhite1_HostT.MEdarkmagenta.1_NEU	2.00E-16	0.957
MetaB.MEantiquewhite1_HostT.MEdarkmagenta_NEU	0.016	0.2918
MetaB.MEantiquewhite1_HostT.MEdarkolivegreen4_NEU	2.00E-16	0.391
MetaB.MEantiquewhite1_HostT.MEdarkorange2_NEU	2.00E-16	0.815
MetaB.MEantiquewhite1_HostT.MEdarkorchid1_NEU	0.002	0.773
MetaB.MEantiquewhite1_HostT.MEdarkorchid2_NEU	0.002	0.724
MetaB.MEantiquewhite1_HostT.MEdarksalmon_NEU	0.012	0.396
MetaB.MEantiquewhite1_HostT.MEdarkseagreen2_NEU	0.002	0.495
MetaB.MEantiquewhite1_HostT.MEdarkviolet_NEU	2.00E-16	0.905
MetaB.MEantiquewhite1_HostT.MEdeeppink_NEU	2.00E-16	0.541
MetaB.MEantiquewhite1_HostT.MEdeeppink3_NEU	2.00E-16	0.997
MetaB.MEantiquewhite1_HostT.MEdodgerblue1_NEU	0.76	0.0236
MetaB.MEantiquewhite1_HostT.MEdodgerblue4_NEU	2.00E-16	0.375
MetaB.MEantiquewhite1_HostT.MEfirebrick3_NEU	2.00E-16	1.033
MetaB.MEantiquewhite1_HostT.MEfirebrick4_NEU	2.00E-16	0.839
MetaB.MEantiquewhite1_HostT.MEfloralwhite_NEU	2.00E-16	0.589
MetaB.MEantiquewhite1_HostT.MEgold_NEU	2.00E-16	0.877
MetaB.MEantiquewhite1_HostT.MEgold1_NEU	2.00E-16	0.688
MetaB.MEantiquewhite1_HostT.MEgreen2_NEU	2.00E-16	1.153
MetaB.MEantiquewhite1_HostT.MEgreen4_NEU	2.00E-16	1.028
MetaB.MEantiquewhite1_HostT.MEgreenyellow.1_NEU	0.25	0.134
MetaB.MEantiquewhite1_HostT.MEgreenyellow_NEU	2.00E-16	0.634
MetaB.MEantiquewhite1_HostT.MEhoneydew1_NEU	0.004	0.59
MetaB.MEantiquewhite1_HostT.MEhoneydew2_NEU	2.00E-16	1.065
MetaB.MEantiquewhite1_HostT.MEhoneydew3_NEU	2.00E-16	0.627
MetaB.MEantiquewhite1_HostT.MEhotpink1_NEU	0.004	0.582
MetaB.MEantiquewhite1_HostT.MEhotpink2_NEU	2.00E-16	1.08
MetaB.MEantiquewhite1_HostT.MElavender_NEU	0.064	0.3547
MetaB.MEantiquewhite1_HostT.MElavenderblush2_NEU	0.006	0.467
MetaB.MEantiquewhite1_HostT.MElemonchiffon1_NEU	2.00E-16	0.672
MetaB.MEantiquewhite1_HostT.MElightcyan4_NEU	2.00E-16	0.518
MetaB.MEantiquewhite1_HostT.MElightgoldenrod2_NEU	0.11	0.0746
MetaB.MEantiquewhite1_HostT.MElightgoldenrod3_NEU	0.03	0.2916
MetaB.MEantiquewhite1_HostT.MElightpink_NEU	2.00E-16	0.896
MetaB.MEantiquewhite1_HostT.MElightpink1_NEU	0.04	0.4649
MetaB.MEantiquewhite1_HostT.MElightpink3_NEU	2.00E-16	0.356
MetaB.MEantiquewhite1_HostT.MElightskyblue2_NEU	2.00E-16	0.937
MetaB.MEantiquewhite1_HostT.MElightsteelblue1_NEU	2.00E-16	1.18
MetaB.MEantiquewhite1_HostT.MElightyellow.1_NEU	2.00E-16	0.803
MetaB.MEantiquewhite1_HostT.MElightyellow_NEU	2.00E-16	0.854
MetaB.MEantiquewhite1_HostT.MElightyellow3_NEU	2.00E-16	0.998
MetaB.MEantiquewhite1_HostT.MEmagenta_NEU	2.00E-16	1.087
MetaB.MEantiquewhite1_HostT.MEmagenta4_NEU	2.00E-16	1.191
MetaB.MEantiquewhite1_HostT.MEmaroon2_NEU	2.00E-16	1.19
