Treat_Mediator_Y	ACME.p	prop.mediated
MetaG.M00151_MetaB.MEpalevioletred3	0.019	0.344
MetaG.M00373_MetaB.MEpalevioletred3	0.02	0.278
MetaG.M00511_MetaB.MEpalevioletred3	0.023	0.216
MetaG.M00418_MetaB.MEpalevioletred3	0.024	0.238
MetaG.M00545_MetaB.MEpalevioletred3	0.026	0.21
MetaG.M00015_MetaB.MEpalevioletred3	0.028	0.17
MetaG.M00373_MetaB.MEblack	0.04	0.252
MetaG.M00567_MetaB.MEwhite	0.04	0.0166
MetaG.map00564_MetaB.MEwhite	0.043	0.187
MetaG.M00418_MetaB.MEdarkred	0.047	0.066
MetaG.M00418_MetaB.MEdarkorange	0.052	0.0236
MetaG.M00540_MetaB.MEcoral	0.054	0.1694
MetaG.M00511_MetaB.MEcoral	0.055	0.33602
MetaG.M00436_MetaB.MEcoral	0.059	0.198
MetaG.M00512_MetaB.MEcoral	0.059	-0.0979
MetaG.map00564_MetaB.MEdarkred	0.062	0.05
MetaG.M00274_MetaB.MEcoral	0.064	-0.127
MetaG.M00274_MetaB.MEpalevioletred3	0.064	-0.135
MetaG.map00564_MetaB.MEcoral	0.064	0.244
MetaG.map00195_MetaB.MEpalevioletred3	0.065	0.212
MetaG.map00564_MetaB.MEblack	0.066	0.124
MetaG.M00145_MetaB.MEpalevioletred3	0.066	0.181
MetaG.M00537_MetaB.MEpalevioletred3	0.069	0.166
MetaG.M00567_MetaB.MEblack	0.069	0.149
MetaG.map00564_MetaB.MEgreen	0.069	0.028
MetaG.M00545_MetaB.MEwhite	0.07	0.00666
MetaG.M00151_MetaB.MEblue2	0.07	0.117
MetaG.M00015_MetaB.MEblue2	0.072	-0.0478
MetaG.M00545_MetaB.MEblack	0.072	0.087
MetaG.M00567_MetaB.MEpalevioletred3	0.074	0.118
MetaG.M00015_MetaB.MEcoral	0.075	-0.0459
MetaG.M00545_MetaB.MEorange	0.075	-0.0627
MetaG.M00151_MetaB.MEblack	0.076	0.0936
MetaG.M00545_MetaB.MEblue2	0.076	0.0729
MetaG.M00162_MetaB.MEpalevioletred3	0.077	0.128
MetaG.M00145_MetaB.MElightcoral	0.077	-0.0797
MetaG.M00439_MetaB.MEpalevioletred3	0.078	0.09
MetaG.map00564_MetaB.MElightcoral	0.078	0.0913
MetaG.M00537_MetaB.MEblack	0.078	0.098
MetaG.M00567_MetaB.MEblue2	0.079	0.105
MetaG.M00373_MetaB.MEwhite	0.08	3.80E-01
MetaG.M00274_MetaB.MEdarkorange	0.08	-0.0364
MetaG.M00015_MetaB.MEblack	0.082	-0.0272
MetaG.M00540_MetaB.MEpalevioletred3	0.082	0.01905
MetaG.M00342_MetaB.MEblack	0.082	0.039
MetaG.M00342_MetaB.MEblue2	0.083	0.0514
MetaG.M00567_MetaB.MElightcoral	0.083	0.062
MetaG.M00567_MetaB.MEorange	0.084	-0.0783
MetaG.M00274_MetaB.MEblack	0.085	-0.0112
MetaG.M00436_MetaB.MEblue2	0.085	-0.00453
MetaG.M00500_MetaB.MEdarkorange	0.085	-0.0292
MetaG.M00342_MetaB.MEpalevioletred3	0.085	0.0405
MetaG.M00373_MetaB.MEdarkorange	0.086	0.01076
MetaG.M00418_MetaB.MEwhite	0.086	0.000473
MetaG.M00512_MetaB.MEpalevioletred3	0.087	0.018
MetaG.map00564_MetaB.MEdarkorange2	0.088	0.0751
MetaG.map00195_MetaB.MElightcoral	0.088	-0.0465
MetaG.M00545_MetaB.MEdarkorange	0.089	0.037
MetaG.M00274_MetaB.MEwhite	0.089	-0.0483
MetaG.map00564_MetaB.MEorange	0.089	-0.0353
