Treat_Mediator_Y	ACME.p	prop.mediated
MetaG.map00280_MetaB.MElightgreen	0.002	0.534
MetaG.M00028_MetaB.MElightgreen	2.00E-16	0.49
MetaG.map00280_MetaB.MEsalmon	0.004	0.379
MetaG.map00280_MetaB.MElavenderblush3	2.00E-16	0.435
MetaG.map00280_MetaB.MEblue	0.004	0.331
MetaG.M00044_MetaB.MEred	2.00E-16	0.567
MetaG.map00380_MetaB.MElightgreen	0.002	0.582
MetaG.M00173_MetaB.MEblue	2.00E-16	0.538
MetaG.M00044_MetaB.MElavenderblush3	2.00E-16	0.719
MetaG.map00250_MetaB.MElavenderblush3	0.002	0.549
MetaG.M00173_MetaB.MEred	0.002	0.431
MetaG.M00338_MetaB.MEblue	2.00E-16	0.571
MetaG.M00002_MetaB.MEblue	2.00E-16	0.442
MetaG.M00533_MetaB.MEblue	2.00E-16	0.88
MetaG.M00001_MetaB.MEplum1	2.00E-16	0.404
MetaG.M00539_MetaB.MEred	2.00E-16	0.769
MetaG.M00533_MetaB.MElavenderblush3	2.00E-16	0.97
MetaG.M00539_MetaB.MEblue	0.002	0.692
MetaG.map00380_MetaB.MEbisque4	0.008	0.754
MetaG.map00920_MetaB.MEblue	0.006	0.349
MetaG.M00539_MetaB.MElightgreen	2.00E-16	0.614
MetaG.M00539_MetaB.MEskyblue	0.008	0.387
MetaG.M00001_MetaB.MElightgreen	0.002	0.416
MetaG.M00001_MetaB.MEdarkmagenta	0.008	0.33
MetaG.M00173_MetaB.MElavenderblush3	2.00E-16	0.63
MetaG.map00920_MetaB.MEred	0.002	0.414
MetaG.map00250_MetaB.MEsalmon	0.002	0.404
MetaG.M00539_MetaB.MEdarkslateblue	2.00E-16	0.47
MetaG.M00533_MetaB.MEred	2.00E-16	0.846
MetaG.M00002_MetaB.MElightgreen	2.00E-16	0.398
MetaG.map00250_MetaB.MElightgreen	2.00E-16	0.504
MetaG.M00338_MetaB.MEdarkmagenta	0.008	0.466
MetaG.map00250_MetaB.MEblue	2.00E-16	0.461
MetaG.M00032_MetaB.MElavenderblush3	0.006	0.643
MetaG.M00338_MetaB.MEskyblue	0.008	0.296
MetaG.M00173_MetaB.MElightgreen	2.00E-16	0.45
MetaG.map00920_MetaB.MElavenderblush3	0.008	0.448
MetaG.M00533_MetaB.MEskyblue	0.006	0.472
MetaG.M00001_MetaB.MEsalmon	0.006	0.338
MetaG.M00001_MetaB.MEblue	2.00E-16	0.408
MetaG.M00002_MetaB.MEred	0.004	0.399
MetaG.M00533_MetaB.MEsalmon	2.00E-16	0.773
MetaG.M00222_MetaB.MEplum1	0.002	0.42
MetaG.map00920_MetaB.MElightgreen	2.00E-16	0.34
MetaG.M00360_MetaB.MEred	0.006	0.28
MetaG.M00044_MetaB.MEsalmon	2.00E-16	0.406
MetaG.map00250_MetaB.MEbisque4	2.00E-16	0.554
MetaG.M00222_MetaB.MElightgreen	2.00E-16	0.385
MetaG.M00539_MetaB.MElavenderblush3	2.00E-16	0.959
MetaG.map00250_MetaB.MEred	2.00E-16	0.443
MetaG.M00173_MetaB.MEsalmon	0.004	0.464
MetaG.M00360_MetaB.MElavenderblush3	0.002	0.362
MetaG.M00533_MetaB.MElightgreen	2.00E-16	0.7
MetaG.M00001_MetaB.MEred	2.00E-16	0.403
MetaG.M00539_MetaB.MEsalmon	2.00E-16	0.726
MetaG.M00338_MetaB.MElavenderblush3	2.00E-16	0.67
MetaG.M00032_MetaB.MElightgreen	0.008	0.486
MetaG.M00338_MetaB.MEred	2.00E-16	0.598
MetaG.M00173_MetaB.MEdarkmagenta	0.002	0.443
