MetaB.HostT_modulePair	MetaB.feature	HostT.feature	Link.by
MetaB.MEcoral3_HostT.MEblack	C00146	AGO2	binding
MetaB.MEpalevioletred3_HostT.MEturquoise1	C00158	CASP7	binding
MetaB.MEpalevioletred3_HostT.MEtan1	C00158	FCER2	binding
MetaB.MEpalevioletred3_HostT.MEtan1	C00158	CLEC4G	binding
MetaB.MEblack_HostT.MEsalmon.1	C00249	CCL2	activation
MetaB.MEmidnightblue_HostT.MEpalegreen	C00219	OXT	activation
MetaB.MEdarkred_HostT.MEblack	C00712	PPARGC1A	inhibition
MetaB.MEblack_HostT.MEpowderblue	C00249	NRF1	activation
MetaB.MEblack_HostT.MElightgoldenrod4	C00249	SLC44A1	inhibition
MetaB.MEblack_HostT.MEsnow	C00249	PPT1	binding
MetaB.MEdarkred_HostT.MEsnow	C00712	CAT	inhibition
MetaB.MEpalevioletred3_HostT.MEsnow4	C00158	ENO2	binding
MetaB.MEblack_HostT.MEbrown2	C00249	ACLY	inhibition
MetaB.MEpalevioletred3_HostT.MElavenderblush3.1	C00158	CLEC4M	binding
MetaB.MEmidnightblue_HostT.MEcyan4	C00219	ALOX5	activation
MetaB.MEgreen_HostT.MEsalmon.1	HMDB0010382	CCL2	activation
MetaB.MEpalevioletred3_HostT.MEpalegreen	C00158	CLEC5A	binding
MetaB.MEpalevioletred3_HostT.MEcyan4	C00158	RPH3A	binding
MetaB.MEpalevioletred3_HostT.MEdarkgrey	C00158	CD209	binding
MetaB.MEpalevioletred3_HostT.MEdarkgrey	C00158	CLEC11A	binding
MetaB.MEmidnightblue_HostT.MEdarkgrey	C00219	PTGS1	activation
MetaB.MEpalevioletred3_HostT.MEsalmon.1	C00158	UCK2	binding
MetaB.MEblack_HostT.MEblack	C00249	ANGPTL4	activation
MetaB.MEblack_HostT.MEblack	C00249	CYP1A1	activation
MetaB.MEblack_HostT.MEblack	C00249	ITGAX	activation
MetaB.MEwhite_HostT.MEblack	C00183	VIL1	binding
MetaB.MEwhite_HostT.MEgrey	C00114	BHMT	activation
MetaB.MEwhite_HostT.MEgrey	C00183	CPA1	binding
MetaB.MEpalevioletred3_HostT.MEgrey	C00158	PTPRG	binding
MetaB.MEpalevioletred3_HostT.MEgrey	C00158	BHMT	binding
MetaB.MEpalevioletred3_HostT.MEgrey	C00158	CPB1	binding
MetaB.MEblack_HostT.MEroyalblue	C00249	GPX7	inhibition
MetaB.MEdarkred_HostT.MEgrey	C00523	NR0B2	activation
MetaB.MEdarkred_HostT.MEgrey	C00712	FABP1	binding
MetaB.MEmidnightblue_HostT.MEpowderblue	C00219	NRF1	activation
MetaB.MEwhite_HostT.MEroyalblue	C00114	PCYT1B	binding
MetaB.MEmidnightblue_HostT.MEblack	C00219	PLCB1	activation
MetaB.MEmidnightblue_HostT.MEblack	C00219	ANGPTL4	activation
MetaB.MEmidnightblue_HostT.MEblack	C00219	CYP1A1	activation
MetaB.MEpalevioletred3_HostT.MEpurple4	C00158	SEMA4F	binding
MetaB.MEblack_HostT.MEgrey	C00249	APOA5	activation
MetaB.MEblack_HostT.MEgrey	C00249	CYP4A11	activation
MetaB.MEblack_HostT.MEgrey	C00249	FABP1	binding
MetaB.MEpalevioletred3_HostT.MEblack	C00158	CYTH3	binding
MetaB.MEpalevioletred3_HostT.MEblack	C00158	PTPRD	binding
MetaB.MEpalevioletred3_HostT.MEblack	C00158	SEMA6A	binding
MetaB.MEpalevioletred3_HostT.MElightsalmon	C00158	KLRB1	binding
MetaB.MEpalevioletred3_HostT.MEroyalblue	C00158	FDPS	binding
MetaB.MEpalevioletred3_HostT.MElightblue4	C00158	HOMER2	binding
MetaB.MEwhite_HostT.MElemonchiffon4	C00114	ACHE	binding
MetaB.MEblack_HostT.MEdarkgrey	C00249	PTGS1	binding
MetaB.MEmidnightblue_HostT.MEgrey	C00219	CYP4A11	activation
MetaB.MEmidnightblue_HostT.MEgrey	C00219	FABP1	binding
MetaB.MEmidnightblue_HostT.MEgrey	C00219	CYP1A2	inhibition
MetaB.MEcoral_HostT.MEblack	C00387	NOS1	activation
MetaB.MEgreen_HostT.MEblack	C07401	SCN5A	binding
MetaB.MEpalevioletred3_HostT.MEsnow	C00140	SIGLEC7	binding
MetaB.MEpalevioletred3_HostT.MEsnow	C00140	PPT1	binding
MetaB.MEpalevioletred3_HostT.MEsnow	C00140	CAT	binding
MetaB.MEpalevioletred3_HostT.MEsnow	C00140	PLBD1	binding
MetaB.MEpalevioletred3_HostT.MEpaleturquoise1	C00140	MME	binding
MetaB.MEpalevioletred3_HostT.MEpaleturquoise1	C00140	ITGAL	binding
MetaB.MEmidnightblue_HostT.MEroyalblue	C01204	ADARB1	binding
MetaB.MEmidnightblue_HostT.MEroyalblue	C06426	FADS2	binding
MetaB.MEpalevioletred3_HostT.MEolivedrab1	C00140	FCGR3A	binding
MetaB.MEgreen_HostT.MEpalegreen	C00535	OXT	activation
MetaB.MEpalevioletred3_HostT.MEbrown2	C00140	MAN2B2	binding
MetaB.MEpalevioletred3_HostT.MEbrown2	C00140	C5	binding
MetaB.MEgreen_HostT.MEgrey	C00535	WISP2	activation
MetaB.MEgreen_HostT.MEgrey	C00535	SLC22A12	activation
MetaB.MEgreen_HostT.MEgrey	C00535	ADIPOQ	inhibition
MetaB.MEgreen_HostT.MEgrey	C00535	PIWIL1	inhibition
MetaB.MEgreen_HostT.MEgrey	C00535	SLC22A8	activation
MetaB.MEgreen_HostT.MEgrey	HMDB0015560	ADRA1A	binding
MetaB.MEgreen_HostT.MEgrey	HMDB0015560	HTR1B	binding
MetaB.MEgreen_HostT.MEgrey	HMDB0015560	HTR1A	binding
MetaB.MEmidnightblue_HostT.MEsnow	C01595	CAT	activation
MetaB.MEcoral_HostT.MEsalmon.1	C00294	CCL2	inhibition
MetaB.MElightcoral_HostT.MEgrey	HMDB0012314	ADIPOQ	activation
MetaB.MEcoral_HostT.MEgrey	C00387	LIN28B	binding
MetaB.MEcoral_HostT.MEgrey	C00387	LIN28A	binding
MetaB.MEpalevioletred3_HostT.MEdarkolivegreen.1	C00140	ACE2	binding
MetaB.MEpalevioletred3_HostT.MEdarkolivegreen.1	C00140	RELN	binding
MetaB.MEpalevioletred3_HostT.MEdarkolivegreen.1	C00140	ITGA2	binding
MetaB.MEmidnightblue_HostT.MEpaleturquoise1	C01595	MME	activation
MetaB.MEgreen_HostT.MEdarkgrey	C00535	ALDH1A2	activation
MetaB.MEwhite_HostT.MEbrown2	HMDB0014563	GAA	binding
