MetaB.HostT_modulePair	MetaB.feature	HostT.feature	Link.by
MetaB.MEred_HostT.MEblue2	C00295	DHODH	binding
MetaB.MEskyblue_HostT.MEturquoise	C00078	DAO	binding
MetaB.MEskyblue_HostT.MEturquoise	C00078	CNOT9	binding
MetaB.MEskyblue_HostT.MEturquoise	C00078	TPH1	binding
MetaB.MEblue_HostT.MElightpink3	C00031	PHF8	binding
MetaB.MEfloralwhite_HostT.MEcyan	C00135	DLG5	binding
MetaB.MEblue_HostT.MEchocolate4	C00031	CXADR	binding
MetaB.MEblue_HostT.MEdarkviolet	C00031	SEMA4D	binding
MetaB.MEdarkmagenta_HostT.MEturquoise	C00517	DBI	binding
MetaB.MEdarkmagenta_HostT.MEturquoise	C00517	RHO	binding
MetaB.MEblue_HostT.MEgreen4	C00031	TNFSF14	binding
MetaB.MEblue_HostT.MEgreen4	C00031	SLC3A2	binding
MetaB.MEdarkslateblue_HostT.MEwhite	C00430	GPR17	binding
MetaB.MEblue_HostT.MEdeeppink3	C00031	CEBPB	activation
MetaB.MEdarkslateblue_HostT.MEyellow	C01407	PRKDC	activation
MetaB.MEdarkslateblue_HostT.MEyellow	C00430	HMOX1	activation
MetaB.MEblue_HostT.MEhotpink1	C00031	PIGN	binding
MetaB.MElightgreen_HostT.MEturquoise	C02593	DBI	binding
MetaB.MElightgreen_HostT.MEturquoise	C02593	ACADVL	binding
MetaB.MElightgreen_HostT.MEturquoise	C00954	RNPEP	activation
MetaB.MElavenderblush3_HostT.MEmagenta	C00062	GLB1L3	binding
MetaB.MElavenderblush3_HostT.MEmagenta	C00079	HMGA1	inhibition
MetaB.MEred_HostT.MEorangered4	C00051	LANCL1	binding
MetaB.MEred_HostT.MEorangered4	C00082	PVR	binding
MetaB.MElavenderblush3_HostT.MEpurple	C00062	IL6	inhibition
MetaB.MEblue_HostT.MEsaddlebrown.1	C00031	KCNK5	binding
MetaB.MEblue_HostT.MEsaddlebrown.1	C00031	PLAU	binding
MetaB.MEskyblue_HostT.MEwhite	C00078	CHRM4	binding
MetaB.MEskyblue_HostT.MEwhite	C00078	DDO	binding
MetaB.MEskyblue_HostT.MEred	C00078	KYAT1	binding
MetaB.MEskyblue_HostT.MEred	C00073	CBS	binding
MetaB.MElavenderblush3_HostT.MEturquoise	C00079	SLC7A8	binding
MetaB.MElavenderblush3_HostT.MEturquoise	C00062	CKM	binding
MetaB.MEblue_HostT.MErosybrown1	C00031	LDLR	binding
MetaB.MEblue_HostT.MErosybrown1	C00031	B4GALT1	binding
MetaB.MEfloralwhite_HostT.MEorangered4	C00064	PVR	binding
MetaB.MEfloralwhite_HostT.MEorangered4	C00135	PVR	binding
MetaB.MEfloralwhite_HostT.MEsalmon2	C00135	CA2	binding
MetaB.MEdarkslateblue_HostT.MEdarkgoldenrod4	C01407	CDK2	activation
MetaB.MEblue_HostT.MEturquoise	C00025	GRM2	binding
MetaB.MEblue_HostT.MEturquoise	C00031	RHO	binding
MetaB.MEblue_HostT.MEturquoise	C00031	RTN4R	binding
MetaB.MEblue_HostT.MEturquoise	C00031	CSF1R	binding
MetaB.MEsalmon_HostT.MEpurple2	C00122	TXNRD3	binding
MetaB.MEblue_HostT.MEmaroon3	C00031	VTN	binding
MetaB.MEblue_HostT.MEdarkgoldenrod4	C00025	AADAT	binding
MetaB.MEblue_HostT.MEdarkgoldenrod4	C00031	MAPK8	activation
MetaB.MEbisque4_HostT.MEwhite	C05951	GPR17	binding
MetaB.MElavenderblush3_HostT.MEthistle4	C00062	NOS3	activation
MetaB.MEdarkmagenta_HostT.MEsienna3	C01875	ACOT13	binding
MetaB.MEplum1_HostT.MEbrown	C00089	KCNAB1	binding
MetaB.MElightgreen_HostT.MEhoneydew1	C02593	NMT1	binding
MetaB.MEsalmon_HostT.MEyellow	C00122	HMOX1	activation
MetaB.MElavenderblush3_HostT.MEhoneydew2	C00062	JUN	activation
MetaB.MEblue_HostT.MEfloralwhite	C00031	KCND1	binding
MetaB.MEblue_HostT.MEfloralwhite	C00031	ELANE	binding
MetaB.MEblue_HostT.MEplum4	C00031	PAPLN	binding
MetaB.MEblue_HostT.MEplum4	C00031	CTSA	binding
MetaB.MElavenderblush3_HostT.MEcoral	C00062	DTD2	binding
MetaB.MEblue_HostT.MEdodgerblue4	C00031	SORT1	binding
MetaB.MEblue_HostT.MEorange	C00031	LTF	binding
MetaB.MEblue_HostT.MEoldlace	C00031	IDUA	binding
MetaB.MEblue_HostT.MEoldlace	C00031	HK3	binding
MetaB.MEblue_HostT.MEoldlace	C00025	PLCB3	binding
MetaB.MEblue_HostT.MEoldlace	C00031	CEBPA	activation
MetaB.MEsalmon_HostT.MElavenderblush2	C00122	DLD	binding
MetaB.MEblue_HostT.MEbrown3	C00031	KDM1A	binding
MetaB.MEblue_HostT.MEbrown3	C00031	GCNT1	binding
MetaB.MEblue_HostT.MEbrown3	C00031	VSIG4	binding
MetaB.MEblue_HostT.MEskyblue3.1	C00025	ENPEP	binding
MetaB.MEblue_HostT.MEmaroon2	C00025	PPP2CA	binding
MetaB.MEblue_HostT.MElightyellow	C00031	CES1	binding
MetaB.MEblue_HostT.MElightyellow	C00031	GCKR	activation
MetaB.MEblue_HostT.MElightyellow	C00031	C2	binding
MetaB.MEplum1_HostT.MEsienna2	C00089	AKR7A2	binding
MetaB.MEred_HostT.MEred	C00051	FLNA	binding
MetaB.MEred_HostT.MEred	C00051	CIB1	binding
MetaB.MEred_HostT.MEturquoise	C00051	HSPB1	activation
MetaB.MEred_HostT.MEturquoise	C00051	DBH	binding
MetaB.MEred_HostT.MEturquoise	C00051	GSTK1	binding
MetaB.MEblue_HostT.MElightyellow3	C00031	GRIN2D	binding
MetaB.MEblue_HostT.MElightyellow3	C00031	MAN2B1	binding
MetaB.MEplum1_HostT.MElightyellow.1	C00089	AGTR1	inhibition
MetaB.MElavenderblush3_HostT.MEsienna3	C00079	FARSB	binding
MetaB.MEplum1_HostT.MEgreenyellow.1	C00089	ANLN	activation
MetaB.MEplum1_HostT.MEkhaki2	C00089	DERA	binding
MetaB.MElavenderblush3_HostT.MEsteelblue4	C00062	ARG1	binding
MetaB.MEblue_HostT.MEgreen2	C00257	P2RX4	activation
MetaB.MEred_HostT.MEgreenyellow	C00051	TXN	binding
MetaB.MElavenderblush3_HostT.MEcyan	C00062	GLB1	binding
MetaB.MEblue_HostT.MEhoneydew2	C00031	PLAUR	binding
MetaB.MEfloralwhite_HostT.MEcoral	C00135	DTD2	binding
MetaB.MElavenderblush3_HostT.MEorangered4	C00062	PVR	binding
MetaB.MElavenderblush3_HostT.MEorangered4	C00079	PVR	binding
MetaB.MEfloralwhite_HostT.MEturquoise	C00135	HARS	binding
MetaB.MElavenderblush3_HostT.MEgreen2	C00062	SLC6A3	activation
MetaB.MEblue_HostT.MEskyblue2	C00031	AGA	binding
MetaB.MEplum1_HostT.MEgreenyellow	C00089	LACTB	binding
MetaB.MEbisque4_HostT.MEyellow	C05951	RNASE2	activation
MetaB.MEred_HostT.MEsienna3	C00051	GLRX	binding
MetaB.MEred_HostT.MEsienna3	C00082	YARS2	binding
MetaB.MEplum1_HostT.MEred	C00089	KCNAB3	binding
MetaB.MEplum1_HostT.MEred	C00089	PRODH	inhibition
MetaB.MEplum1_HostT.MEred	C00089	ASMTL	binding
MetaB.MEdarkslateblue_HostT.MEpurple	C01407	NFKB1	activation
MetaB.MEblue_HostT.MElightskyblue2	C00031	GALK2	binding
MetaB.MEfloralwhite_HostT.MEdarkmagenta	C00064	ATXN2	activation
