module_pair	feature_connections
MetaG.map03018_MetaB.MEred	K00024_C00064
MetaG.M00002_MetaB.MElightgreen	K15633_C00954;K15634_C00954;K12406_C00954;K15635_C00954
MetaG.M00028_MetaB.MEred	K14681_C00295;K14681_C00051
MetaG.M00028_MetaB.MEsalmon	K14681_C00122
MetaG.M00028_MetaB.MElavenderblush3	K14681_C00062
MetaG.M00028_MetaB.MElavenderblush3	K14681_C00062
MetaG.M00028_MetaB.MEblue	K14681_C00025
MetaG.M00028_MetaB.MEblue	K14681_C00025
MetaG.map00280_MetaB.MElavenderblush3	K13524_C00062
MetaG.M00001_MetaB.MEred	K11645_C00082;K00918_C00051;K00918_C00082;K11645_C00051;K01623_C00082;K01623_C00051
MetaG.M00533_MetaB.MEsalmon	K10219_C00122;K05921_C00122
MetaG.M00533_MetaB.MEblue	K10219_C00025;K05921_C00025
MetaG.M00533_MetaB.MElightgreen	K05921_C02593;K10219_C00954;K05921_C00954;K10219_C02593
MetaG.M00533_MetaB.MEred	K05921_C00082;K05921_C00193;K10219_C00082;K10219_C00193
MetaG.M00533_MetaB.MElavenderblush3	K05921_C00079;K10219_C00079
MetaG.M00539_MetaB.MElavenderblush3	K05710_C00079;K00529_C00079
MetaG.map00250_MetaB.MEbisque4	K01914_C05951
MetaG.M00338_MetaB.MElavenderblush3	K01758_C00079
MetaG.M00338_MetaB.MEred	K01758_C00051;K01758_C00082
MetaG.M00338_MetaB.MEblue	K01758_C00025;K01697_C05635;K01697_C00257;K01758_C00257;K01758_C05635;K01697_C00025
MetaG.M00044_MetaB.MEsalmon	K01744_C00122;K01555_C00122
MetaG.M00044_MetaB.MEred	K01555_C00082;K00457_C00082;K00451_C00082
MetaG.M00044_MetaB.MElavenderblush3	K01555_C00079;K00451_C00079;K00457_C00079
MetaG.M00002_MetaB.MEblue	K00873_C00025;K15635_C00257;K15633_C05635;K15634_C00025;K15634_C00257;K15634_C05635;K15633_C00257;K15633_C00025;K15635_C05635
MetaG.M00001_MetaB.MEblue	K00873_C00025;K15634_C05635;K15633_C05635;K00845_C00257;K06859_C00031;K00918_C00025;K00845_C00031;K01623_C00025;K00918_C00257;K00844_C00257;K15635_C05635;K00844_C00031
MetaG.M00001_MetaB.MEplum1	K00844_C00089;K06859_C00089;K00845_C00089
MetaG.map00250_MetaB.MElightgreen	K00812_C00954;K00266_C00954;K00266_C02593;K00265_C00954;K00259_C02593;K00265_C02593
MetaG.map00920_MetaB.MElightgreen	K00640_C02593;K00651_C02593;K00641_C02593
MetaG.map00250_MetaB.MEred	K00608_C00295;K00610_C00295
MetaG.M00539_MetaB.MEdarkslateblue	K00529_C01407;K05710_C01407
MetaG.M00539_MetaB.MElightgreen	K00529_C00954;K05710_C02593;K00529_C02593;K05710_C00954
MetaG.M00539_MetaB.MEsalmon	K00529_C00122;K05710_C00122
MetaG.M00539_MetaB.MEred	K00529_C00082;K00529_C00193;K05710_C00082;K05710_C00193
MetaG.map00250_MetaB.MEblue	K00265_C00025;K00266_C00025;K00294_C00025
MetaG.M00173_MetaB.MEblue	K00244_C05635;K00170_C00025;K00024_C05635;K00245_C05635;K00171_C00257;K00169_C00025;K00024_C00025;K00024_C00257;K00244_C00257
MetaG.M00173_MetaB.MElightgreen	K00171_C02593;K00170_C02593;K00169_C02593
MetaG.M00173_MetaB.MElavenderblush3	K00024_C00079
MetaG.M00044_MetaB.MEnavajowhite	K00052_C00123;K01649_C00407
MetaG.map00250_MetaB.MEnavajowhite	K00128_C00127
MetaG.map00280_MetaB.MElightgreen	K07509_C02593
MetaG.M00539_MetaB.MEblue	K05710_C00025;K00529_C00025
MetaG.map00380_MetaB.MElightgreen	K04073_C02593;K01501_C00954;K00128_C00954;K01825_C02593;K01426_C00954;K01782_C02593
MetaG.map00920_MetaB.MEred	K02439_C00051
MetaG.map00920_MetaB.MEred	K02439_C00051
MetaG.M00222_MetaB.MEplum1	K02040_C00089
MetaG.M00360_MetaB.MElavenderblush3	K01890_C00079;K01889_C00079
MetaG.map00250_MetaB.MEsalmon	K01744_C00122
MetaG.M00001_MetaB.MElightgreen	K01689_C02593;K01623_C02593;K15634_C00954;K15633_C00954;K00918_C02593;K15635_C00954
MetaG.map00250_MetaB.MElavenderblush3	K00259_C00079;K00265_C00079;K00266_C00079
MetaG.M00173_MetaB.MEred	K00170_C00082;K00169_C00051;K00169_C00082;K00024_C00082;K00024_C00051;K00170_C00051
MetaG.M00173_MetaB.MEdarkmagenta	K00024_C01875;K00244_C01875;K00024_C00517;K00245_C00517;K00245_C01875;K00244_C00517
MetaG.M00002_MetaB.MEred	K15633_C00082;K15635_C00051;K15634_C00082;K15635_C00082;K15633_C00051;K15634_C00051
MetaG.map00280_MetaB.MEred	K13524_C00295;K13524_C00051
MetaG.map00280_MetaB.MEblue	K13524_C00025
MetaG.map00280_MetaB.MEsalmon	K02232_C00122;K00768_C00122
MetaG.M00173_MetaB.MEsalmon	K00239_C00122;K00240_C00122;K00244_C00122
MetaG.M00173_MetaB.MEsalmon	K00239_C00122;K00240_C00122;K00244_C00122
MetaG.M00222_MetaB.MEblue	K00128_C00127
MetaG.M00002_MetaB.MElavenderblush3	K00128_C00517;K00128_C01875;K00128_C01838;K00128_C01948
