MetaG.module	MetaB.module	Species	delta.spearman.r
MetaG_M00015	MetaB_MEpalevioletred3	Acinetobacter_baumannii	0.0032051
MetaG_M00015	MetaB_MEpalevioletred3	Actinomyces_oris	1.80E-06
MetaG_M00015	MetaB_MEpalevioletred3	Actinomyces_pacaensis	-0.0021673
MetaG_M00015	MetaB_MEpalevioletred3	Actinomyces_sp_oral_taxon_897	-0.0019548
MetaG_M00015	MetaB_MEpalevioletred3	Actinomyces_viscosus	-0.0013511
MetaG_M00015	MetaB_MEpalevioletred3	Aggregatibacter_aphrophilus	-0.0039953
MetaG_M00015	MetaB_MEpalevioletred3	Bacteroides_heparinolyticus	-0.001653
MetaG_M00015	MetaB_MEpalevioletred3	Campylobacter_concisus	-0.0015076
MetaG_M00015	MetaB_MEpalevioletred3	Campylobacter_showae	-0.0017144
MetaG_M00015	MetaB_MEpalevioletred3	Capnocytophaga_gingivalis	-0.0019101
MetaG_M00015	MetaB_MEpalevioletred3	Capnocytophaga_leadbetteri	-0.0002498
MetaG_M00015	MetaB_MEpalevioletred3	Escherichia_coli	0.0119428
MetaG_M00015	MetaB_MEpalevioletred3	Fusobacterium_necrophorum	-0.0019325
MetaG_M00015	MetaB_MEpalevioletred3	Fusobacterium_periodonticum	0.0001639
MetaG_M00015	MetaB_MEpalevioletred3	Gardnerella_vaginalis	-0.002184
MetaG_M00015	MetaB_MEpalevioletred3	Gemella_haemolysans	-0.0023629
MetaG_M00015	MetaB_MEpalevioletred3	Gemella_morbillorum	-0.0017144
MetaG_M00015	MetaB_MEpalevioletred3	Haemophilus_influenzae	-0.0109553
MetaG_M00015	MetaB_MEpalevioletred3	Haemophilus_parahaemolyticus	-0.0043084
MetaG_M00015	MetaB_MEpalevioletred3	Haemophilus_parainfluenzae	0.0094215
MetaG_M00015	MetaB_MEpalevioletred3	Lachnoanaerobaculum_umeaense	-0.0019157
MetaG_M00015	MetaB_MEpalevioletred3	Lachnospiraceae_bacterium	-0.0016306
MetaG_M00015	MetaB_MEpalevioletred3	Lachnospiraceae_bacterium_GAM79	-0.0025418
MetaG_M00015	MetaB_MEpalevioletred3	Lachnospiraceae_bacterium_oral_taxon_500	-0.006701
MetaG_M00015	MetaB_MEpalevioletred3	Lactobacillus_salivarius	-0.0040736
MetaG_M00015	MetaB_MEpalevioletred3	Lautropia_mirabilis	-3.73E-05
MetaG_M00015	MetaB_MEpalevioletred3	Leptotrichia_sp_oral_taxon_212	-0.0018486
MetaG_M00015	MetaB_MEpalevioletred3	Leptotrichia_sp_oral_taxon_498	-0.0019213
MetaG_M00015	MetaB_MEpalevioletred3	Leptotrichia_wadei	0.0004714
MetaG_M00015	MetaB_MEpalevioletred3	Megasphaera_hexanoica	-0.0006914
MetaG_M00015	MetaB_MEpalevioletred3	Mogibacterium_diversum	-0.0059519
MetaG_M00015	MetaB_MEpalevioletred3	Moraxella_catarrhalis	0.0020758
MetaG_M00015	MetaB_MEpalevioletred3	Neisseria_elongata	-0.0016194
MetaG_M00015	MetaB_MEpalevioletred3	Neisseria_meningitidis	-0.0017368
MetaG_M00015	MetaB_MEpalevioletred3	Neisseria_mucosa	-0.0029108
MetaG_M00015	MetaB_MEpalevioletred3	Neisseria_subflava	0.0100309
MetaG_M00015	MetaB_MEpalevioletred3	Parvimonas_micra	-0.0018374
MetaG_M00015	MetaB_MEpalevioletred3	Porphyromonas_gingivalis	0.0074761
MetaG_M00015	MetaB_MEpalevioletred3	Prevotella_denticola	-0.0022791
MetaG_M00015	MetaB_MEpalevioletred3	Prevotella_intermedia	-0.0035872
MetaG_M00015	MetaB_MEpalevioletred3	Prevotella_jejuni	0.0013994
MetaG_M00015	MetaB_MEpalevioletred3	Prevotella_melaninogenica	-0.006237
MetaG_M00015	MetaB_MEpalevioletred3	Prevotella_oris	-0.0032238
MetaG_M00015	MetaB_MEpalevioletred3	Pseudomonas_aeruginosa	0.0024112
MetaG_M00015	MetaB_MEpalevioletred3	Pseudomonas_putida	-0.0050183
MetaG_M00015	MetaB_MEpalevioletred3	Ralstonia_mannitolilytica	-0.0036822
MetaG_M00015	MetaB_MEpalevioletred3	Rothia_dentocariosa	-0.0008032
MetaG_M00015	MetaB_MEpalevioletred3	Rothia_mucilaginosa	0.0075599
MetaG_M00015	MetaB_MEpalevioletred3	Ruania_sp_HY168	-0.0078918
MetaG_M00015	MetaB_MEpalevioletred3	Ruminococcus_bicirculans	-0.0024971
MetaG_M00015	MetaB_MEpalevioletred3	Saccharibacteria	-0.0039562
MetaG_M00015	MetaB_MEpalevioletred3	Schaalia_odontolytica	-0.0033636
MetaG_M00015	MetaB_MEpalevioletred3	Selenomonas_sp_oral_taxon_126	-0.0025195
MetaG_M00015	MetaB_MEpalevioletred3	Selenomonas_sp_oral_taxon_920	-0.0022064
MetaG_M00015	MetaB_MEpalevioletred3	Sneathia_amnii	-0.0031791
MetaG_M00015	MetaB_MEpalevioletred3	Streptococcus_gordonii	-0.0019548
MetaG_M00015	MetaB_MEpalevioletred3	Streptococcus_intermedius	-0.0019548
MetaG_M00015	MetaB_MEpalevioletred3	Streptococcus_mitis	-0.0027151
MetaG_M00015	MetaB_MEpalevioletred3	Streptococcus_pneumoniae	-0.0011554
MetaG_M00015	MetaB_MEpalevioletred3	Streptococcus_salivarius	-0.0012225
MetaG_M00015	MetaB_MEpalevioletred3	Streptococcus_sanguinis	-0.0028213
MetaG_M00015	MetaB_MEpalevioletred3	Streptococcus_sp_LPB0220	0.0041275
MetaG_M00015	MetaB_MEpalevioletred3	Streptococcus_sp_oral_taxon_431	-0.0031512
MetaG_M00015	MetaB_MEpalevioletred3	Tannerella_sp_oral_taxon_HOT-286	-0.0017144
MetaG_M00015	MetaB_MEpalevioletred3	Treponema_putidum	-0.0018039
MetaG_M00015	MetaB_MEpalevioletred3	Treponema_sp_OMZ_838	-0.0008535
MetaG_M00015	MetaB_MEpalevioletred3	Veillonella_atypica	0.0019752
MetaG_M00015	MetaB_MEpalevioletred3	Veillonella_dispar	-0.0022176
MetaG_M00015	MetaB_MEpalevioletred3	Veillonella_parvula	0.0003037
MetaG_M00151	MetaB_MEpalevioletred3	Acinetobacter_baumannii	0.0098839
MetaG_M00151	MetaB_MEpalevioletred3	Actinomyces_oris	0.0077037
MetaG_M00151	MetaB_MEpalevioletred3	Actinomyces_pacaensis	0.0075025
MetaG_M00151	MetaB_MEpalevioletred3	Actinomyces_sp_oral_taxon_897	0.0073347
MetaG_M00151	MetaB_MEpalevioletred3	Actinomyces_viscosus	0.0071503
MetaG_M00151	MetaB_MEpalevioletred3	Aggregatibacter_aphrophilus	0.0073292
MetaG_M00151	MetaB_MEpalevioletred3	Bacteroides_heparinolyticus	0.0073068
MetaG_M00151	MetaB_MEpalevioletred3	Campylobacter_concisus	0.0077987
MetaG_M00151	MetaB_MEpalevioletred3	Campylobacter_showae	0.006854
MetaG_M00151	MetaB_MEpalevioletred3	Capnocytophaga_gingivalis	0.0076422
MetaG_M00151	MetaB_MEpalevioletred3	Capnocytophaga_leadbetteri	0.0073068
MetaG_M00151	MetaB_MEpalevioletred3	Escherichia_coli	-0.0041478
MetaG_M00151	MetaB_MEpalevioletred3	Fusobacterium_necrophorum	0.0074298
MetaG_M00151	MetaB_MEpalevioletred3	Fusobacterium_periodonticum	0.0078602
MetaG_M00151	MetaB_MEpalevioletred3	Gardnerella_vaginalis	0.0073459
MetaG_M00151	MetaB_MEpalevioletred3	Gemella_haemolysans	0.0073068
MetaG_M00151	MetaB_MEpalevioletred3	Gemella_morbillorum	0.0073068
MetaG_M00151	MetaB_MEpalevioletred3	Haemophilus_influenzae	0.0044949
MetaG_M00151	MetaB_MEpalevioletred3	Haemophilus_parahaemolyticus	0.0101858
MetaG_M00151	MetaB_MEpalevioletred3	Haemophilus_parainfluenzae	0.006021
MetaG_M00151	MetaB_MEpalevioletred3	Lachnoanaerobaculum_umeaense	0.0077484
MetaG_M00151	MetaB_MEpalevioletred3	Lachnospiraceae_bacterium	0.0080447
MetaG_M00151	MetaB_MEpalevioletred3	Lachnospiraceae_bacterium_GAM79	0.0078323
MetaG_M00151	MetaB_MEpalevioletred3	Lachnospiraceae_bacterium_oral_taxon_500	0.0079609
MetaG_M00151	MetaB_MEpalevioletred3	Lactobacillus_salivarius	0.0078826
MetaG_M00151	MetaB_MEpalevioletred3	Lautropia_mirabilis	0.0080112
MetaG_M00151	MetaB_MEpalevioletred3	Leptotrichia_sp_oral_taxon_212	0.0076254
MetaG_M00151	MetaB_MEpalevioletred3	Leptotrichia_sp_oral_taxon_498	0.0075919
MetaG_M00151	MetaB_MEpalevioletred3	Leptotrichia_wadei	0.0074857
MetaG_M00151	MetaB_MEpalevioletred3	Megasphaera_hexanoica	0.0079497
MetaG_M00151	MetaB_MEpalevioletred3	Mogibacterium_diversum	0.0076031
MetaG_M00151	MetaB_MEpalevioletred3	Moraxella_catarrhalis	0.0037402
MetaG_M00151	MetaB_MEpalevioletred3	Neisseria_elongata	0.0075248
MetaG_M00151	MetaB_MEpalevioletred3	Neisseria_meningitidis	0.0074857
MetaG_M00151	MetaB_MEpalevioletred3	Neisseria_mucosa	0.0058645
MetaG_M00151	MetaB_MEpalevioletred3	Neisseria_subflava	0.0113877
MetaG_M00151	MetaB_MEpalevioletred3	Parvimonas_micra	0.0077596
MetaG_M00151	MetaB_MEpalevioletred3	Porphyromonas_gingivalis	0.010661
MetaG_M00151	MetaB_MEpalevioletred3	Prevotella_denticola	0.0078882
MetaG_M00151	MetaB_MEpalevioletred3	Prevotella_intermedia	0.0075751
MetaG_M00151	MetaB_MEpalevioletred3	Prevotella_jejuni	0.0079497
MetaG_M00151	MetaB_MEpalevioletred3	Prevotella_melaninogenica	0.007536
MetaG_M00151	MetaB_MEpalevioletred3	Prevotella_oris	0.0079441
MetaG_M00151	MetaB_MEpalevioletred3	Pseudomonas_aeruginosa	0.0104709
MetaG_M00151	MetaB_MEpalevioletred3	Pseudomonas_putida	0.0034662
MetaG_M00151	MetaB_MEpalevioletred3	Ralstonia_mannitolilytica	0.0074018
MetaG_M00151	MetaB_MEpalevioletred3	Rothia_dentocariosa	0.0045899
MetaG_M00151	MetaB_MEpalevioletred3	Rothia_mucilaginosa	0.0049477
MetaG_M00151	MetaB_MEpalevioletred3	Ruania_sp_HY168	0.0069267
MetaG_M00151	MetaB_MEpalevioletred3	Ruminococcus_bicirculans	0.0088553
MetaG_M00151	MetaB_MEpalevioletred3	Saccharibacteria	0.0088609
MetaG_M00151	MetaB_MEpalevioletred3	Schaalia_odontolytica	0.0077652
MetaG_M00151	MetaB_MEpalevioletred3	Selenomonas_sp_oral_taxon_126	0.0077261
MetaG_M00151	MetaB_MEpalevioletred3	Selenomonas_sp_oral_taxon_920	0.0074857
MetaG_M00151	MetaB_MEpalevioletred3	Sneathia_amnii	0.0075416
MetaG_M00151	MetaB_MEpalevioletred3	Streptococcus_gordonii	0.0073068
MetaG_M00151	MetaB_MEpalevioletred3	Streptococcus_intermedius	0.0073068
MetaG_M00151	MetaB_MEpalevioletred3	Streptococcus_mitis	0.0071335
MetaG_M00151	MetaB_MEpalevioletred3	Streptococcus_pneumoniae	0.0065353
MetaG_M00151	MetaB_MEpalevioletred3	Streptococcus_salivarius	0.0073907
MetaG_M00151	MetaB_MEpalevioletred3	Streptococcus_sanguinis	0.0068596
MetaG_M00151	MetaB_MEpalevioletred3	Streptococcus_sp_LPB0220	0.0057136
MetaG_M00151	MetaB_MEpalevioletred3	Streptococcus_sp_oral_taxon_431	0.0064627
MetaG_M00151	MetaB_MEpalevioletred3	Tannerella_sp_oral_taxon_HOT-286	0.0075136
MetaG_M00151	MetaB_MEpalevioletred3	Treponema_putidum	0.0078602
MetaG_M00151	MetaB_MEpalevioletred3	Treponema_sp_OMZ_838	0.008682
MetaG_M00151	MetaB_MEpalevioletred3	Veillonella_atypica	0.0072509
MetaG_M00151	MetaB_MEpalevioletred3	Veillonella_dispar	0.0076646
MetaG_M00151	MetaB_MEpalevioletred3	Veillonella_parvula	0.0076143
MetaG_M00373	MetaB_MEblack	Acinetobacter_baumannii	0.0021319
MetaG_M00373	MetaB_MEblack	Actinomyces_oris	-0.0034025
MetaG_M00373	MetaB_MEblack	Actinomyces_pacaensis	-0.0025863
MetaG_M00373	MetaB_MEblack	Actinomyces_sp_oral_taxon_897	-0.0028938
MetaG_M00373	MetaB_MEblack	Actinomyces_viscosus	-0.0026758
MetaG_M00373	MetaB_MEblack	Aggregatibacter_aphrophilus	-0.0026254
MetaG_M00373	MetaB_MEblack	Bacteroides_heparinolyticus	-0.0026422
