MetaG.module	MetaB.module	Species	delta.spearman.r
MetaG_M00001	MetaB_MEblue	Acinetobacter_baumannii	-0.00641059999999999
MetaG_M00001	MetaB_MEblue	Actinomyces_oris	-0.0140637
MetaG_M00001	MetaB_MEblue	Actinomyces_pacaensis	-0.0138345
MetaG_M00001	MetaB_MEblue	Actinomyces_sp_oral_taxon_897	-0.0133034
MetaG_M00001	MetaB_MEblue	Actinomyces_viscosus	-0.0154278
MetaG_M00001	MetaB_MEblue	Aggregatibacter_aphrophilus	-0.0140749
MetaG_M00001	MetaB_MEblue	Bacteroides_heparinolyticus	-0.0130295
MetaG_M00001	MetaB_MEblue	Campylobacter_concisus	-0.0139128
MetaG_M00001	MetaB_MEblue	Campylobacter_showae	-0.012314
MetaG_M00001	MetaB_MEblue	Capnocytophaga_gingivalis	-0.0127891
MetaG_M00001	MetaB_MEblue	Capnocytophaga_leadbetteri	-0.0131134
MetaG_M00001	MetaB_MEblue	Escherichia_coli	0.0349132
MetaG_M00001	MetaB_MEblue	Fusobacterium_necrophorum	-0.0123531
MetaG_M00001	MetaB_MEblue	Fusobacterium_periodonticum	-0.0146507
MetaG_M00001	MetaB_MEblue	Gardnerella_vaginalis	-0.0130295
MetaG_M00001	MetaB_MEblue	Gemella_haemolysans	-0.0142091
MetaG_M00001	MetaB_MEblue	Gemella_morbillorum	-0.0130742
MetaG_M00001	MetaB_MEblue	Haemophilus_influenzae	-0.0124314
MetaG_M00001	MetaB_MEblue	Haemophilus_parahaemolyticus	-0.0127165
MetaG_M00001	MetaB_MEblue	Haemophilus_parainfluenzae	-0.0149973
MetaG_M00001	MetaB_MEblue	Lachnoanaerobaculum_umeaense	-0.013309
MetaG_M00001	MetaB_MEblue	Lachnospiraceae_bacterium	-0.0143936
MetaG_M00001	MetaB_MEblue	Lachnospiraceae_bacterium_GAM79	-0.0135271
MetaG_M00001	MetaB_MEblue	Lachnospiraceae_bacterium_oral_taxon_500	-0.0123475
MetaG_M00001	MetaB_MEblue	Lactobacillus_salivarius	-0.0147234
MetaG_M00001	MetaB_MEblue	Lautropia_mirabilis	-0.00837840000000001
MetaG_M00001	MetaB_MEblue	Leptotrichia_sp_oral_taxon_212	-0.0129568
MetaG_M00001	MetaB_MEblue	Leptotrichia_sp_oral_taxon_498	-0.0134544
MetaG_M00001	MetaB_MEblue	Leptotrichia_wadei	-0.0128171
MetaG_M00001	MetaB_MEblue	Megasphaera_hexanoica	-0.0144439
MetaG_M00001	MetaB_MEblue	Mogibacterium_diversum	-0.0134264
MetaG_M00001	MetaB_MEblue	Moraxella_catarrhalis	-0.0507308
MetaG_M00001	MetaB_MEblue	Neisseria_elongata	-0.0126494
MetaG_M00001	MetaB_MEblue	Neisseria_meningitidis	-0.0130295
MetaG_M00001	MetaB_MEblue	Neisseria_mucosa	-0.0141644
MetaG_M00001	MetaB_MEblue	Neisseria_subflava	-0.0019718
MetaG_M00001	MetaB_MEblue	Parvimonas_micra	-0.0146172
MetaG_M00001	MetaB_MEblue	Porphyromonas_gingivalis	-0.0144495
MetaG_M00001	MetaB_MEblue	Prevotella_denticola	-0.0131916
MetaG_M00001	MetaB_MEblue	Prevotella_intermedia	-0.0134153
MetaG_M00001	MetaB_MEblue	Prevotella_jejuni	-0.0126214
MetaG_M00001	MetaB_MEblue	Prevotella_melaninogenica	-0.0141588
MetaG_M00001	MetaB_MEblue	Prevotella_oris	-0.0141308
MetaG_M00001	MetaB_MEblue	Pseudomonas_aeruginosa	-0.0637674
MetaG_M00001	MetaB_MEblue	Pseudomonas_putida	-0.00774659999999999
MetaG_M00001	MetaB_MEblue	Ralstonia_mannitolilytica	-0.0113245
MetaG_M00001	MetaB_MEblue	Rothia_dentocariosa	-0.0177142
MetaG_M00001	MetaB_MEblue	Rothia_mucilaginosa	-0.013091
MetaG_M00001	MetaB_MEblue	Ruania_sp_HY168	-0.0137339
MetaG_M00001	MetaB_MEblue	Ruminococcus_bicirculans	-0.0137171
MetaG_M00001	MetaB_MEblue	Saccharibacteria	-0.0356424
MetaG_M00001	MetaB_MEblue	Schaalia_odontolytica	-0.0123922
MetaG_M00001	MetaB_MEblue	Selenomonas_sp_oral_taxon_126	-0.0124481
MetaG_M00001	MetaB_MEblue	Selenomonas_sp_oral_taxon_920	-0.0136445
MetaG_M00001	MetaB_MEblue	Sneathia_amnii	-0.0118611
MetaG_M00001	MetaB_MEblue	Streptococcus_gordonii	-0.0121127
MetaG_M00001	MetaB_MEblue	Streptococcus_intermedius	-0.0130295
MetaG_M00001	MetaB_MEblue	Streptococcus_mitis	-0.0177198
MetaG_M00001	MetaB_MEblue	Streptococcus_pneumoniae	-0.0144383
MetaG_M00001	MetaB_MEblue	Streptococcus_salivarius	-0.0144215
MetaG_M00001	MetaB_MEblue	Streptococcus_sanguinis	-0.014606
MetaG_M00001	MetaB_MEblue	Streptococcus_sp_LPB0220	-0.0129848
MetaG_M00001	MetaB_MEblue	Streptococcus_sp_oral_taxon_431	-0.0147569
MetaG_M00001	MetaB_MEblue	Tannerella_sp_oral_taxon_HOT-286	-0.0098039
MetaG_M00001	MetaB_MEblue	Treponema_putidum	-0.0118891
MetaG_M00001	MetaB_MEblue	Treponema_sp_OMZ_838	-0.0140917
MetaG_M00001	MetaB_MEblue	Veillonella_atypica	-0.014237
MetaG_M00001	MetaB_MEblue	Veillonella_dispar	-0.013555
MetaG_M00001	MetaB_MEblue	Veillonella_parvula	-0.0152042
MetaG_M00001	MetaB_MEdarkmagenta	Acinetobacter_baumannii	0.00153600000000001
MetaG_M00001	MetaB_MEdarkmagenta	Actinomyces_oris	0.00609209999999999
MetaG_M00001	MetaB_MEdarkmagenta	Actinomyces_pacaensis	0.00613130000000001
MetaG_M00001	MetaB_MEdarkmagenta	Actinomyces_sp_oral_taxon_897	0.00522
MetaG_M00001	MetaB_MEdarkmagenta	Actinomyces_viscosus	0.00735549999999999
MetaG_M00001	MetaB_MEdarkmagenta	Aggregatibacter_aphrophilus	0.0055666
MetaG_M00001	MetaB_MEdarkmagenta	Bacteroides_heparinolyticus	0.00521440000000001
MetaG_M00001	MetaB_MEdarkmagenta	Campylobacter_concisus	0.00630459999999999
MetaG_M00001	MetaB_MEdarkmagenta	Campylobacter_showae	0.00443740000000001
MetaG_M00001	MetaB_MEdarkmagenta	Capnocytophaga_gingivalis	0.00505230000000001
MetaG_M00001	MetaB_MEdarkmagenta	Capnocytophaga_leadbetteri	0.00577349999999999
MetaG_M00001	MetaB_MEdarkmagenta	Escherichia_coli	-0.0485646
MetaG_M00001	MetaB_MEdarkmagenta	Fusobacterium_necrophorum	0.00493489999999999
MetaG_M00001	MetaB_MEdarkmagenta	Fusobacterium_periodonticum	0.005466
MetaG_M00001	MetaB_MEdarkmagenta	Gardnerella_vaginalis	0.00521440000000001
MetaG_M00001	MetaB_MEdarkmagenta	Gemella_haemolysans	0.0065673
MetaG_M00001	MetaB_MEdarkmagenta	Gemella_morbillorum	0.00571199999999999
MetaG_M00001	MetaB_MEdarkmagenta	Haemophilus_influenzae	0.0059468
MetaG_M00001	MetaB_MEdarkmagenta	Haemophilus_parahaemolyticus	0.00322990000000001
MetaG_M00001	MetaB_MEdarkmagenta	Haemophilus_parainfluenzae	0.00519210000000001
MetaG_M00001	MetaB_MEdarkmagenta	Lachnoanaerobaculum_umeaense	0.00566729999999999
MetaG_M00001	MetaB_MEdarkmagenta	Lachnospiraceae_bacterium	0.00642199999999998
MetaG_M00001	MetaB_MEdarkmagenta	Lachnospiraceae_bacterium_GAM79	0.00563369999999999
MetaG_M00001	MetaB_MEdarkmagenta	Lachnospiraceae_bacterium_oral_taxon_500	0.0073444
MetaG_M00001	MetaB_MEdarkmagenta	Lactobacillus_salivarius	0.00611449999999999
MetaG_M00001	MetaB_MEdarkmagenta	Lautropia_mirabilis	0.0010608
MetaG_M00001	MetaB_MEdarkmagenta	Leptotrichia_sp_oral_taxon_212	0.0049852
MetaG_M00001	MetaB_MEdarkmagenta	Leptotrichia_sp_oral_taxon_498	0.00525919999999999
MetaG_M00001	MetaB_MEdarkmagenta	Leptotrichia_wadei	0.00491819999999998
MetaG_M00001	MetaB_MEdarkmagenta	Megasphaera_hexanoica	0.0040181
MetaG_M00001	MetaB_MEdarkmagenta	Mogibacterium_diversum	0.0084177
MetaG_M00001	MetaB_MEdarkmagenta	Moraxella_catarrhalis	0.0370347
MetaG_M00001	MetaB_MEdarkmagenta	Neisseria_elongata	0.0047672
MetaG_M00001	MetaB_MEdarkmagenta	Neisseria_meningitidis	0.00521440000000001
MetaG_M00001	MetaB_MEdarkmagenta	Neisseria_mucosa	0.0067294
MetaG_M00001	MetaB_MEdarkmagenta	Neisseria_subflava	-0.000677800000000006
MetaG_M00001	MetaB_MEdarkmagenta	Parvimonas_micra	0.00631570000000001
MetaG_M00001	MetaB_MEdarkmagenta	Porphyromonas_gingivalis	0.0072102
MetaG_M00001	MetaB_MEdarkmagenta	Prevotella_denticola	0.0046554
MetaG_M00001	MetaB_MEdarkmagenta	Prevotella_intermedia	0.00601949999999998
MetaG_M00001	MetaB_MEdarkmagenta	Prevotella_jejuni	0.00711519999999999
MetaG_M00001	MetaB_MEdarkmagenta	Prevotella_melaninogenica	0.0042082
MetaG_M00001	MetaB_MEdarkmagenta	Prevotella_oris	0.00604740000000001
MetaG_M00001	MetaB_MEdarkmagenta	Pseudomonas_aeruginosa	0.05916123
MetaG_M00001	MetaB_MEdarkmagenta	Pseudomonas_putida	-0.000795199999999996
MetaG_M00001	MetaB_MEdarkmagenta	Ralstonia_mannitolilytica	0.00297829999999999
MetaG_M00001	MetaB_MEdarkmagenta	Rothia_dentocariosa	0.0112632
MetaG_M00001	MetaB_MEdarkmagenta	Rothia_mucilaginosa	0.00217329999999999
MetaG_M00001	MetaB_MEdarkmagenta	Ruania_sp_HY168	0.00791459999999999
MetaG_M00001	MetaB_MEdarkmagenta	Ruminococcus_bicirculans	0.0062487
MetaG_M00001	MetaB_MEdarkmagenta	Saccharibacteria	0.0265584
MetaG_M00001	MetaB_MEdarkmagenta	Schaalia_odontolytica	0.00487899999999999
