M00564	Helicobacter pylori pathogenicity signature, cagA pathogenicity island [PATH:map05120]	K15842;K12086;K12087;K12088;K12089;K12090;K03196;K12091;K12092;K12093;K12094;K12095;K12096;K12097;K12098;K12099;K12100;K12101;K12102;K12103;K12104;K12105;K12106;K12107;K12108;K12109;K12110;
M00285	MCM complex [PATH:map03030 map04110 map04111 map04113] [BR:ko03032]	K02540;K02541;K02212;K02209;K02542;K02210;
M00124	Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P [PATH:map00750]	K03472;K03473;K00831;K00097;K03474;K00275;
M00469	BceS-BceR (bacitracin transport) two-component regulatory system [PATH:map02020] [BR:ko02022]	K11629;K11630;
M00485	KinABCDE-Spo0FA (sporulation control) two-component regulatory system [PATH:map02020] [BR:ko02022]	K02491;K07697;K07698;K13532;K13533;K02490;K07699;
M00032	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA [PATH:map00310]	K00290;K00291;K00292;K00293;K14157;K00143;K14085;K00825;K00164;K00658;K00252;K01825;K01782;K07514;K01692;K07515;K07511;K00022;
M00436	Sulfonate transport system [PATH:map02010] [BR:ko02000]	K15553;K15554;K15555;
M00450	BaeS-BaeR (envelope stress response) two-component regulatory system [PATH:map02020] [BR:ko02022]	K07642;K07664;
M00499	HydH-HydG (metal tolerance) two-component regulatory system [PATH:map02020] [BR:ko02022]	K07709;K07713;
M00099	Sphingosine biosynthesis [PATH:map00600]	K00654;K04708;K04709;K04710;K04712;K01441;K12348;K12349;
M00106	Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate [PATH:map00120]	K08748;K00659;
M00193	Putative spermidine/putrescine transport system [BR:ko02000]	K02055;K02053;K02054;K02052;
M00417	Cytochrome o ubiquinol oxidase [PATH:map00190]	K02297;K02298;K02299;K02300;
M00299	Spermidine/putrescine transport system [PATH:map02010] [BR:ko02000]	K11069;K11070;K11071;K11072;
M00300	Putrescine transport system [PATH:map02010] [BR:ko02000]	K11073;K11074;K11075;K11076;
M00402	Translocon-associated protein (TRAP) complex [PATH:map04141]	K13249;K13250;K13251;K04571;
M00494	NatK-NatR (sodium extrusion) two-component regulatory system [PATH:map02020] [BR:ko02022]	K11640;K11641;
M00083	Fatty acid biosynthesis, elongation [PATH:map01212 map00061]	K00665;K00667;K00668;K11533;K00647;K09458;K00648;K00059;K02372;K01716;K16363;K00208;K02371;K10780;
M00199	L-Arabinose/lactose transport system [PATH:map02010] [BR:ko02000]	K10188;K10189;K10190;K10191;
M00522	SalK-SalR two-component regulatory system [PATH:map02020] [BR:ko02022]	K14988;K14989;
M00218	Fructose transport system [PATH:map02010] [BR:ko02000]	K10552;K10553;K10554;
M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type [PATH:map00710]	K01595;K14454;K14455;K00025;K00026;K00028;K00814;K14272;K01006;
M00345	Formaldehyde assimilation, ribulose monophosphate pathway [PATH:map01200 map00680]	K08093;K13812;K08094;K13831;K00850;K16370;K01624;
M00435	Taurine transport system [PATH:map02010] [BR:ko02000]	K15551;K15552;K10831;
M00186	Tungstate transport system [PATH:map02010] [BR:ko02000]	K05772;K05773;K06857;
M00169	CAM (Crassulacean acid metabolism), light [PATH:map01200 map00710]	K00029;K01006;
M00280	PTS system, glucitol/sorbitol-specific II component [PATH:map00051 map02060] [BR:ko02000]	K02781;K02782;K02783;
M00572	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP [PATH:map00780]	K02169;K16592;K00647;K09458;K00059;K02372;K00208;K02170;K09789;
M00303	PTS system, N-acetylmuramic acid-specific II component [PATH:map02060] [BR:ko02000]	K02777;K11191;K11192;
M00491	arabinogalactan oligomer/maltooligosaccharide transport system [PATH:map02010] [BR:ko02000]	K15770;K15771;K15772;K10111;K10112;
M00125	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD [PATH:map00740]	K01497;K14652;K01498;K00082;K11752;K02858;K00794;K00793;K00861;K00953;K11753;
M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine [PATH:map01230 map00290]	K01754;K01652;K01653;K11258;K00053;K01687;K00826;
M00387	SCF-FBW7 complex [PATH:map04120] [BR:ko04121]	K03868;K03347;K03094;K10260;
M00236	Putative polar amino acid transport system [BR:ko02000]	K02030;K02029;K02028;
M00181	RNA polymerase III, eukaryotes [PATH:map03020 map04623] [BR:ko03021]	K03018;K03021;K03027;K03020;K03023;K03026;K14721;K03025;K03024;K03022;K03019;K03013;K03014;K03016;K03009;K03007;
M00247	Putative ABC transport system [BR:ko02000]	K01989;K05832;K05833;
M00033	Ectoine biosynthesis, aspartate => ectoine [PATH:map01210 map01230 map00260]	K00928;K00133;K00836;K06718;K06720;
M00276	PTS system, mannose-specific II component [PATH:map00051 map02060] [BR:ko02000]	K02793;K02794;K02795;K02796;
M00385	Cul4-DDB1-DDB2 complex [PATH:map04120 map03420] [BR:ko04121 ko03400]	K03868;K10609;K10610;K10140;
M00619	Xylobiose transport system [PATH:map02010] [BR:ko02000]	K17326;K17327;K17328;
M00089	Triacylglycerol biosynthesis [PATH:map00561]	K00629;K13506;K13507;K00630;K13508;K00631;K03621;K08591;K00655;K13509;K13513;K13517;K13519;K13523;K14674;K01080;K00635;K11155;K11160;
M00352	Spliceosome, U2-snRNP [PATH:map03040] [BR:ko03041]	K11086;K11087;K11096;K11088;K11097;K11098;K11099;K11092;K11094;K12825;K12826;K12827;K12828;K12829;K12830;K12831;K12832;K12833;K12835;K12834;
