Bin	Species
bin.708	Acinetobacter_baumannii
bin.283	Actinomyces_oris
bin.812	Actinomyces_oris
bin.476	Actinomyces_pacaensis
bin.754	Actinomyces_pacaensis
bin.1	Actinomyces_sp_oral_taxon_897
bin.847	Actinomyces_viscosus
bin.833	Aggregatibacter_aphrophilus
bin.418	Aggregatibacter_aphrophilus
bin.172	Bacteroides_heparinolyticus
bin.39	Campylobacter_concisus
bin.543	Campylobacter_concisus
bin.262	Campylobacter_showae
bin.511	Campylobacter_showae
bin.326	Campylobacter_showae
bin.348	Capnocytophaga_gingivalis
bin.693	Capnocytophaga_leadbetteri
bin.58	Escherichia_coli
bin.487	Escherichia_coli
bin.946	Fusobacterium_necrophorum
bin.369	Fusobacterium_periodonticum
bin.1192	Fusobacterium_periodonticum
bin.15	Fusobacterium_periodonticum
bin.475	Gardnerella_vaginalis
bin.856	Gemella_haemolysans
bin.134	Gemella_haemolysans
bin.353	Gemella_morbillorum
bin.160	Haemophilus_influenzae
bin.271	Haemophilus_influenzae
bin.106	Haemophilus_influenzae
bin.297	Haemophilus_influenzae
bin.9	Haemophilus_influenzae
bin.424	Haemophilus_parahaemolyticus
bin.275	Haemophilus_parahaemolyticus
bin.88	Haemophilus_parahaemolyticus
bin.867	Haemophilus_parahaemolyticus
bin.889	Haemophilus_parainfluenzae
bin.75	Haemophilus_parainfluenzae
bin.740	Haemophilus_parainfluenzae
bin.337	Haemophilus_parainfluenzae
bin.164	Haemophilus_parainfluenzae
bin.925	Haemophilus_parainfluenzae
bin.78	Haemophilus_parainfluenzae
bin.1374	Haemophilus_parainfluenzae
bin.239	Lachnoanaerobaculum_umeaense
bin.572	Lachnoanaerobaculum_umeaense
bin.167	Lachnoanaerobaculum_umeaense
bin.131	Lachnospiraceae_bacterium
bin.626	Lachnospiraceae_bacterium_GAM79
bin.498	Lachnospiraceae_bacterium_oral_taxon_500
bin.282	Lachnospiraceae_bacterium_oral_taxon_500
bin.93	Lactobacillus_salivarius
bin.158	Lactobacillus_salivarius
bin.333	Lactobacillus_salivarius
bin.114	Lautropia_mirabilis
bin.910	Lautropia_mirabilis
bin.582	Lautropia_mirabilis
bin.744	Leptotrichia_sp_oral_taxon_212
bin.496	Leptotrichia_sp_oral_taxon_212
bin.896	Leptotrichia_sp_oral_taxon_498
bin.374	Leptotrichia_wadei
bin.338	Megasphaera_hexanoica
bin.491	Mogibacterium_diversum
bin.396	Mogibacterium_diversum
bin.165	Mogibacterium_diversum
bin.196	Mogibacterium_diversum
bin.1301	Mogibacterium_diversum
bin.508	Mogibacterium_diversum
bin.519	Mogibacterium_diversum
bin.1000	Mogibacterium_diversum
bin.382	Mogibacterium_diversum
bin.18	Mogibacterium_diversum
bin.244	Mogibacterium_diversum
bin.570	Mogibacterium_diversum
bin.663	Mogibacterium_diversum
bin.751	Mogibacterium_diversum
bin.224	Moraxella_catarrhalis
bin.887	Moraxella_catarrhalis
bin.317	Moraxella_catarrhalis
bin.255	Moraxella_catarrhalis
bin.563	Moraxella_catarrhalis
bin.467	Neisseria_elongata
bin.152	Neisseria_meningitidis
bin.530	Neisseria_mucosa
bin.95	Neisseria_mucosa
bin.293	Neisseria_mucosa
bin.584	Neisseria_mucosa
bin.948	Neisseria_subflava
bin.453	Neisseria_subflava
bin.70	Neisseria_subflava
bin.248	Neisseria_subflava
bin.844	Neisseria_subflava
