NAME	K072V0	K079V0	K083V0	K084V0	K085V0	K086V0	K147V0	K096V0	K097V0	K098V0	K100V0	K101V0	K105V0	K107V0	K110V0	K111V0	K112V0	K119V0	K121V0	K122V0	K131V0	K136V0	K138V0	K144V0	K154V0	K155V0	K157V0	K169V0	K171V0	K173V0	K174V0	K177V0	K179V0	K180V0	K182V0	K184V0	K188V0	K058V2	K065V2	K068V2	K099V2	J095V4	1107V4	K011V4	K013V4	X003V4	1004V4	X004V4	1055V4	J009V6	J043V6	J048V6	J073V6	J059V6	J050V6	1075V6	S044V8	S106V8	S099V8	C220V8	C402V8	C161V8	K040V4	C422V8	J035V8	J076V8	J063V8	K080V2	K059V2	Z002	Z003	Z004	Z007	Z008	Z010	Z011	Z013	Z014	Z023	Z025	Z030	Z031	Z033	Z035	Z040	Z041	Z042	Z043	Z044	Z047	Z048	Z049	Z050	Z064	Z065	Z046	K055V0	K057V0	K060V0	K095V0	K194V0	K014V2	K016V2	K022V2	K047V2	K003V4	K028V4	K019V4	C532V8	C132V8	K041V4	Z015	Z017	Z018	Z020	Z024	Z026	Z027	Z028	Z029	Z034	Z038	Z039	Z054	Z055	Z056	Z060	Z061	Z062
Group	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H
C00009	7969.403918	9846.394208	5952.572778	15302.53675	11080499.76	11364.00103	2376.780371	25913.6934	1543.158719	2040.99165	5079.567838	22136.68331	4792.518976	56807.96062	25376.91102	53568.55475	5447.603478	155257.4077	477457.2134	76498.56474	1144.196523	34013.8348	64086.937	71362.79689	41704.7744	56840.55256	69713.1421	90538.04797	965.4944864	5181.684089	356692.4346	5021.804002	16254.02997	161640.5424	49542.38909	280472.6991	7753.604214	58872.48813	1464966.277	221336.0307	78343.62858	827210.1602	397679.7496	111512.8317	63618.15594	156112.1751	430122.5807	14419.18368	1940517.521	591649.6127	248591.5146	87955.45154	135714.5163	17283.20939	91102.78609	119582.7752	96463.85946	553165.7353	98673.75115	119498.2597	67532.87336	124312.232	203135.5854	3471999.579	383458.0828	30866.12304	2456.187925	311984.1841	29756.78032	21167.1586	21457.28824	608748.935	4058.992676	5496.312637	92137.69211	465246.6781	167091.4441	493112.6525	2700.851918	130511.6718	117075.0325	113017.8363	190588.1885	201528.855	145448.9783	93228.32966	275220.8295	1083.379191	1759.090105	400984.2572	173975.5953	172.6311272	477385.0887	31801.54429	80129.31345	168457.1624	1819.980638	11942.45443	7460.99076	30967.19128	23165.65158	117152.6025	143972.0094	70933.31413	56372.57285	210083.678	14352.19605	59228.04908	91154.018	288421.0522	123691.8563	38824.83218	744898.6008	44255.36232	55591.45702	110114.1778	1107044.258	16463.40708	341251.1398	516535.5403	45711.36844	750955.0711	69986.92365	180358.614	35403.80745	5162.730783	127917.9199	75385.18884	117626.5142
C00015	35720.055	122763.9654	67668.68105	164984.5835	274453.4646	28970.41298	45979.68485	213226.4054	5336.525726	8612.943808	21560.03568	61383.23654	21023.14089	249674.882	40035.81169	22660.02683	60225.62773	218317.2039	83691.20309	360270.5364	1115.038454	19955.79167	50911.06132	254361.373	141764.2674	283862.7362	199397.601	109300.1415	835.3942463	11846.87035	340770.6977	39204.07952	32199.21499	185055.154	130473.7035	268097.9736	26068.79353	252612.1755	200572.3434	219732.5338	45151.98964	187367.0631	212826.6234	147780.9002	152040.0068	115598.5984	142733.7336	2737.120478	112275.2703	78226.03671	186130.3332	141097.0388	202683.2357	20328.89786	148544.7213	216164.5537	68178.0165	177249.8465	93440.58523	33550.13542	122670.1736	114755.2497	133796.5009	159452.2619	167237.5823	14453.3711	3319.281816	275258.9229	18734.31822	37517.01827	9631.159159	287504.7172	16732.92359	12511.12224	248145.5887	181377.2784	203162.9235	115393.8559	114719.2079	383574.8018	191153.9665	57730.23183	331770.4128	406018.322	120011.8419	182989.7416	201551.9202	70547.66125	3306.383658	58199.80581	45508.48238	16506.91286	49182.21753	41579.60339	36348.62008	160339.8628	99956.43106	73897.39491	57952.98838	255865.2165	121047.5793	198713.1261	398736.847	322760.9006	163568.5876	107116.3742	88128.32256	68524.79786	200856.7056	166893.0331	151220.8575	31210.6017	227286.3475	42815.74708	17911.15035	138388.095	129614.2057	185196.5123	85852.47753	165901.6421	41375.57571	238145.6268	309901.8902	425350.603	628654.1685	17376.98523	57689.79512	659337.8292	43804.03542
C00016	29175.88559	32404.21693	15485.53085	11283.07503	26831.43384	17692.6522	15232.03981	26790.65524	37023.27079	34267.79554	42226.68563	19331.18047	11561.18803	17548.36143	35786.52948	23672.47654	33001.64306	10197.49386	6149.75081	47641.89146	32512.56472	32841.05695	19414.49727	9845.385593	8348.551281	35426.83714	29102.72834	7853.98887	18876.95115	38373.31201	14520.44175	44747.75721	38880.35479	16150.0132	7768.835339	15191.04417	25606.73588	29610.39867	10769.60492	24966.41285	67713.98328	17688.03567	24942.10457	58604.14887	76361.29745	22926.82222	19860.63938	17162.42706	41168.00116	30483.04924	17317.92299	10087.9294	21252.33443	34457.96985	25885.18403	32314.46459	22072.67707	23715.28658	28990.76936	72994.05435	9745.536325	28758.68221	19603.57803	27392.50144	21407.96934	40970.96549	20432.35153	13121.86827	10431.71751	20156.83229	31535.69372	12242.70483	6707.315625	12954.65414	16906.72986	15578.44843	16986.38417	8269.324114	59183.16459	32042.07441	32395.71748	16782.78281	16493.97647	11013.3026	14885.38227	18115.86565	18970.61047	81083.8392	65714.91091	12157.75407	3547.60041	45559.10241	14627.87046	21603.06592	32820.98302	7502.857877	24971.84283	2800.591843	40952.2811	12275.48432	37283.19795	12221.74307	22562.26643	81365.35384	13416.29842	17036.26077	44294.62968	25622.26595	35094.41964	15599.02812	45071.66712	19074.3403	18561.20828	9492.895243	33608.08476	59921.36888	18195.60077	51701.63629	21688.90774	23069.18825	25445.56782	12605.3867	26196.93724	19326.68148	56387.10604	31879.81825	23679.67536	36795.78471	9737.63944
C00020	1223.520454	149375.7559	3832.444722	150910.3789	327.863049	1363.98137	1089307.709	1680.206106	37960.20115	44243.91301	5224.451914	2340.757495	32868.71892	3573.258628	10049.09496	13651.1935	3757.303163	2610.614848	120.2404489	77515.08156	18570.50369	12274.36853	8480.543188	3486.974069	1208.474445	37182.05535	2168.189298	32621.71337	158382.5785	27111.70739	1867.959536	10570.08374	50231.63309	1231752.544	590780.6429	116690.4462	662382.0463	599.8247634	154.3174334	98.398272	32112.24112	5634.676376	282.3077088	118582.9511	2723.906538	7847.40915	163231.5375	21619.87403	1157153.605	1071530.663	1610.691174	26389.23718	182556.4527	6992.160803	4028.051283	1542.702426	10501.64304	3440.043489	19107.70773	157699.018	33698.48919	18952.27727	28261.20434	30090.91811	20698.97996	46623.96815	28191.91199	16448.09271	12945388.82	97974.40227	6773.264842	9604.862254	518.8287325	1885.216251	2354.786889	303.835163	5100.37493	18257.11732	543492.5836	3381.126413	220.6014455	101.3078036	673.4000215	4815.019137	11104.02465	159.6475036	467.9617821	490552.3192	339998.1417	5148.823911	8949.455818	297347.1123	1922.112533	527.3047725	114362.5659	3657.37718	1150533.517	279389.3634	321663.1761	11980.71458	7931.516211	12351.52885	1447.591277	928.2136843	2940.15308	79876.82735	40260.54578	1259.586293	1407.051937	40884.33622	146067.3736	88457.97008	79389.19678	508181.9915	104206.1006	126344.0645	60578.22268	149476.4082	55716.94496	12205.41624	19735.55066	10259.84597	5114.020036	8885.037617	225567.9579	84073.65472	27237.46215	3690.147039	20897.66972
C00022	45476.63325	317226.2136	59890.74124	6397.941978	101148.4651	583408.4379	1492433.33	301037.0651	25241.08604	42965.16156	1718235.621	146683.6377	164434.8719	5497.88716	436973.156	172341.4448	120630.9333	60270.77804	245231.3574	32924.70238	1966683.703	100289.2486	238788.5689	8618.088003	23692.70288	362007.4591	97935.38974	76843.2837	288709.2018	421267.7985	779262.1006	76102.87534	737105.2978	670977.793	86260.32096	2735016.315	19041874.19	3240.827842	9346.644241	83240.55776	927841.1434	9646.537735	7509.939847	123718.7543	448450.1131	5876.422232	133144.1038	177.5660634	404932.1603	1100550.143	8731.097461	181584.151	132563.3546	78155.3509	7291094.124	17295.42622	231827.6129	29649.30026	117980.1821	3221335.999	6322.754859	59864.86254	35050.03079	42139.4125	10348.65572	223686.0105	99981.39769	167075.5956	6483.993188	11737.03505	60944.01744	245450.7504	6523.420649	130046.8881	93314.02954	549585.6196	159051.2063	923240.7018	32393.97606	101616.9103	121502.5602	96370.91452	131126.5068	103673.0948	121029.2251	66767.04351	2007355.069	2512.484684	14792.97324	91690.91319	162992.5124	23446.98085	95006.98523	188197.2879	16137.05213	226763.7075	280662.1266	75051.66033	125345.0406	8238.28124	36796.54993	49657.99118	94.18072286	74123.77559	1621.715471	478792.7517	21262.12942	127791.9763	32542.92224	12500.61437	233968.0162	46021.78557	463175.4932	45584.23329	53517.7173	77113.6578	443363.9001	73803.39901	353704.0783	215789.5015	40192.15059	475111.9961	65891.24473	131315.2743	55199.73797	34396.53228	150069.5285	185174.1703	185946.6036
C00025	30716.975	14611.74276	31663.74175	15477.22504	10081.57979	22151.53112	12365.85025	37902.8442	25165.40769	5682.84711	39272.35088	13201.34266	60858.03608	45372.14848	14310.2558	51184.93574	29211.60213	31304.41485	29998.11103	13485.20642	58244.52189	18845.50622	12144.40811	14729.16338	28837.43671	14124.73951	124737.112	14370.95809	25463.14941	14457.28961	56299.29686	16096.89558	50058.87465	42055.88295	16682.39717	81325.74909	68568.95341	19195.57697	46962.21158	163815.1801	14779.8066	19797.60123	42892.39195	17398.69241	33149.20622	35749.51028	33151.30515	64266.55449	24124.96229	30002.77676	75827.35396	14462.85513	31730.99869	8277.821892	38317.41467	32269.02878	12239.17668	163950.8005	25653.77301	120233.3722	15480.48531	10199.13614	42372.58471	24898.72712	31870.57385	29191.36897	38255.23146	44303.47892	23564.03026	54689.77983	70996.74811	5045.868932	99959.59457	44121.87677	22165.65533	14698.76521	27205.68483	7796.251313	91401.45643	11816.09776	11498.32813	29611.40149	26798.46745	11775.35085	63788.44615	50587.15327	8375.442557	44299.30981	202236.8519	20833.82724	10614.96919	267670.805	18954.02006	22051.52258	31633.56422	12782.64862	14446.68826	12778.9655	9085.272271	12748.9616	5584.082303	18585.97745	16890.03444	4162.775805	27512.34582	52889.37239	16094.04733	17640.6664	17037.45847	28209.42523	20380.08876	22086.37998	19455.45811	27284.3415	29344.1487	36254.71198	11153.09273	18725.09195	23981.24163	11958.61349	34535.64612	13092.1336	26028.85783	15819.72995	43223.83922	37742.76307	37520.20161	21596.25323	37325.85777
C00026	39582.71558	70777.64567	130767.943	22904.91451	93307.41538	83864.26153	12648.35639	409869.3586	9613.260781	29319.23081	119538.2909	68781.31387	1137333.314	13803193.03	3597937.233	2996855.855	1496009.862	7907185.908	9179684.407	5432285.829	236498.0975	2105963.466	5935209.252	271733.5782	164563.7118	127876.1275	433484.8889	127432.0106	5185.657443	10435.65942	726702.4712	37694.26879	7685.172966	398168.1334	11404.78729	677588.496	616.7260568	215835.267	46781692.04	20962220.8	156124.9127	15661.74016	105183.5475	416634.8388	155401.6694	34937.32996	120954.9631	83205.18328	68922.89869	57281.54404	57691.27806	47239.28054	56805.03862	45966.12655	572807.2378	8872601.007	238175.1543	80961.90802	74832.6998	51048.7828	30323.08887	355207.2216	231594.0614	1295267.512	16733774.99	4500164.725	42167.49061	18027021.79	3.384304501	305205.4626	1120288.388	12509.88282	11361.02396	4251289.903	618998.01	897072.2673	86936.10834	1350884.687	381617.8278	80307.69208	682495.942	28541.12002	210984.4769	62590.4819	45200.83147	504875.5699	117686.5878	141247.2284	8294107.967	15836446.01	950.2383189	255485.5934	671785.6367	85460.9566	137235.1311	1600505.956	501623.8717	24708.89403	17279.69223	25030.75781	1654.719631	176815.4505	33140.78871	49883.57134	5286928.796	112454920.3	4936.507744	29195.49546	8851.398688	170672.9209	8713.204335	8403.90885	73821.47351	526.570689	860074.6287	26829.0376	84963.85023	244194.2752	265854.0698	7850.069263	27372.25282	523987.7042	18436.94157	212158.9251	6345662.723	2871477290	504164.2615	4219082.169	528534.8655
C00031	212004.5109	2295.708442	22763.89585	1181902.645	31672.85881	130974.889	2517.425295	572.3928343	51.17344898	261269.581	532524.2532	7597.8115	277491.2155	734177.8466	155179.7677	871992.6463	20150.01987	5154.872928	6436.847117	37.27670876	45815.65255	3338.137423	132934.3142	15.2071607	64660.26471	238.5378432	703263.0371	152.7151681	6667.034894	407620.6033	38252.55807	401912.6267	743078.1489	78302.75434	20567.83857	517689.3965	393602.7515	111540.9696	319841.1656	23635.64454	41986.89036	217.0712685	2648.132222	1540919.551	3512.5264	418732.7808	14856.02497	33003.89283	758.1075089	682648.8783	176986.708	1038416.686	383172.4067	5405.856197	1346706.229	45700.33071	18547.44246	353259.407	11407.00218	439499.8641	4244.548414	17817.14028	568.7791587	37718.78052	1351228.302	153.0271372	715.4213675	980753.3505	120807.4555	25778.06415	21883.23112	1543.620804	23846.90586	351479.816	48921.97366	15959.70943	7937813.025	1460.083806	13360.33384	39025.48624	15001.62388	119187.3923	788205.6224	7379.172067	40943.49325	1324322.321	392446.8871	1365706.487	52799.33937	2969.92373	2750.280679	71010.38695	3032.435709	36039.69176	123310.6441	23893.5135	459.8634648	21209.4441	1569.876894	661.6175333	9655.344894	12944.75945	20712.33324	7559.831854	1087.803667	15164.09356	520.2049528	592.2358955	755.7339862	13509.57309	8200.339738	664.8736984	95630.91808	2496.983512	7102.117434	892.3426059	24537.24004	48676.84785	8694.458539	533.706761	1168.766863	28653.00915	118445.2031	70582.44143	71455.8448	3246.867291	20954.24215	2709.186829	5773.894576
C00041	136556.2217	53183.04007	61628.62485	129146.1071	33394576.82	216571.4826	124109.1697	5439938.481	32369.33842	88072.13126	292772.4916	74529.54898	405801.1125	16658.75315	64292.75039	194119.82	14859.4404	183056.8499	2362948.568	1269687.541	4499.519534	637988.8239	6868344.941	106232.1414	463836.585	80543.39519	320606.5054	642606.5841	3422.916861	49044.59479	1876523.625	31300.58611	29259.73325	136350.487	860182.6882	12080328.97	29005.09845	164072.6191	2142062.623	1588802.135	85082.27123	609588.896	60730.36317	47519.82751	168116.3866	38404.00983	20942.12667	5163.849893	229610.9351	4821107.073	382276.3016	395809.2542	104144.159	1080.126349	2094349.589	27996.44452	390795.3825	1197715.276	621701.578	194201.0086	44831.2141	43624.33621	74370.50219	599225.719	762719.8602	2683298.228	174712.4494	11417413.12	73776.97583	13614.08455	26696.24654	999578.8682	8209.310928	320571.1036	90981.08362	3248746.689	303444.0021	2610965.874	31586.94927	165643.7443	385856.4115	148879.8496	262394.4427	476808.491	159077.4938	164620.7928	7735950.878	2444.590434	21942.67137	447308.2143	267716.1678	37411.58759	308277.8289	419737.8556	34620.53085	619465.4432	263155.6878	13206.72318	124134.3792	310427.5578	43202.3525	118982.5242	37257.36198	132452.6671	35234.07983	974933.3253	11937.55201	65342.04504	28222.80255	50676.34512	313644.074	93184.16711	4267837.684	118609.0787	96074.63812	175316.6176	1774568.213	186770.4211	694605.6004	354390.0281	62157.98606	2469187.936	164454.4107	292965.7968	147601.2899	55714.9759	424223.0914	116057.7403	378956.0022
