NAME	K072V0	K079V0	K083V0	K084V0	K085V0	K086V0	K147V0	K096V0	K097V0	K098V0	K100V0	K101V0	K105V0	K107V0	K110V0	K111V0	K112V0	K119V0	K121V0	K122V0	K131V0	K136V0	K138V0	K144V0	K154V0	K155V0	K157V0	K169V0	K171V0	K173V0	K174V0	K177V0	K179V0	K180V0	K182V0	K184V0	K188V0	K058V2	K065V2	K068V2	K099V2	J095V4	1107V4	K011V4	K013V4	X003V4	1004V4	X004V4	1055V4	J009V6	J043V6	J048V6	J073V6	J059V6	J050V6	1075V6	S044V8	S106V8	S099V8	C220V8	C402V8	C161V8	K040V4	C422V8	J035V8	J076V8	J063V8	K080V2	K059V2	Z002	Z003	Z004	Z007	Z008	Z010	Z011	Z013	Z014	Z023	Z025	Z030	Z031	Z033	Z035	Z040	Z041	Z042	Z043	Z044	Z047	Z048	Z049	Z050	Z064	Z065	Z046	K055V0	K057V0	K060V0	K095V0	K194V0	K014V2	K016V2	K022V2	K047V2	K003V4	K028V4	K019V4	C532V8	C132V8	K041V4	Z015	Z017	Z018	Z020	Z024	Z026	Z027	Z028	Z029	Z034	Z038	Z039	Z054	Z055	Z056	Z060	Z061	Z062
Group	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H
C00009	-0.281499605	-0.254788159	-0.318351577	-0.199101749	0.632560052	-0.236683961	-0.434302713	-0.132573978	-0.488852702	-0.453539267	-0.338382083	-0.152470366	-0.345728834	-0.033442157	-0.135217618	-0.04085764	-0.329547598	0.093538727	0.235420505	0.004143522	-0.526632028	-0.098221486	-0.01821517	-0.004633586	-0.072475884	-0.033369718	-0.007587419	0.025424486	-0.548079623	-0.335868259	0.198591962	-0.339826546	-0.191483176	0.098627339	-0.050725745	0.168230271	-0.284966722	-0.028933649	0.377014682	0.13832365	0.007153537	0.304831823	0.212329779	0.051741108	-0.019142405	0.094232151	0.222234463	-0.206611306	0.412519852	0.262503825	0.152990495	0.02176946	0.076547761	-0.183729169	0.026209832	0.060565432	0.033431549	0.254009418	0.036292264	0.060476139	-0.011600453	0.065464222	0.127486234	0.485996918	0.207730425	-0.110486033	-0.430152093	0.181677976	-0.115108816	-0.158126648	-0.156407291	0.26610222	-0.366709603	-0.328423338	0.027636458	0.232148532	0.102816164	0.239495266	-0.418159261	0.071610667	0.057888703	0.053434255	0.119433653	0.126483291	0.085296645	0.029122672	0.165842913	-0.533530118	-0.472312069	0.213374911	0.107915289	-0.765499294	0.235401425	-0.106715333	0.009999925	0.103844261	-0.468014257	-0.230413386	-0.289825348	-0.110073158	-0.146732081	0.057972356	0.084007591	-0.005395981	-0.034413858	0.131733916	-0.207199419	-0.028173166	0.026280836	0.171759666	0.064832359	-0.0815132	0.291594457	-0.064978725	-0.036176118	0.050146994	0.341633775	-0.189866653	0.193002625	0.245356301	-0.060890402	0.292617182	-0.007092386	0.112466071	-0.093163001	-0.336331072	0.069075382	0.002291849	0.058482232
C00015	-0.735420705	0.261850282	-0.219308009	0.500626796	0.911740399	-0.904604183	-0.531461306	0.70782962	-2.27116032	-1.884473264	-1.143255618	-0.29805779	-1.163626424	0.835304613	-0.643281335	-1.103058631	-0.313437345	0.726889292	-0.047642012	1.131521499	-3.535922052	-1.205716353	-0.449162157	0.85032678	0.378094423	0.938970607	0.653663605	0.168011468	-3.769166669	-1.626948465	1.086571099	-0.660239921	-0.819246333	0.593363796	0.311051926	0.892814256	-0.989856302	0.844752493	0.658408762	0.732109284	-0.546135258	0.603393193	0.706313639	0.411670795	0.43462276	0.213269408	0.383599827	-2.810503108	0.189705705	-0.102193847	0.598043573	0.374283449	0.666865906	-1.190752656	0.415835243	0.718884694	-0.213250544	0.55855276	0.041371058	-0.786046684	0.261232886	0.207354504	0.331366729	0.473074778	0.511583327	-1.466306082	-2.654725269	0.914107637	-1.256738941	-0.695771959	-1.794211729	0.949268826	-1.348003253	-1.582879479	0.830341508	0.577147496	0.668775458	0.211837404	0.207100754	1.182153954	0.619556967	-0.347621024	1.064949022	1.228088421	0.243534934	0.584297193	0.662344382	-0.18565095	-2.657870357	-0.341077006	-0.539782402	-1.358988528	-0.477070117	-0.612717885	-0.721329479	0.47755898	0.095823768	-0.148177858	-0.344510062	0.855088621	0.250476577	0.650885887	1.213469965	1.042709147	0.493663849	0.151708572	-0.005910969	-0.209152154	0.659553213	0.509917349	0.430258789	-0.844436973	0.759412626	-0.589052392	-1.293036319	0.35862355	0.305712922	0.593980616	-0.027045869	0.505104481	-0.616691452	0.797114043	1.009867182	1.265663653	1.581245031	-1.317493931	-0.34818704	1.619740556	-0.570618396
C00016	0.504609633	0.658021132	-0.421356116	-0.884169504	0.38215584	-0.226579258	-0.445483347	0.379932476	0.852819566	0.739761986	1.045056374	-0.097106554	-0.84857463	-0.238549818	0.80315431	0.19904757	0.684726681	-1.0320492	-1.771332618	1.22143885	0.662900745	0.67759613	-0.090819722	-1.083416019	-1.324490729	0.788387209	0.500939598	-1.413758524	-0.131865108	0.905175229	-0.51542184	1.129825377	0.924364285	-0.359938367	-1.429694156	-0.449422987	0.313861875	0.526219726	-0.952254932	0.276842915	1.735383516	-0.226960738	0.275418943	1.524170201	1.911069027	0.152261442	-0.057607643	-0.271057706	1.007939331	0.568678325	-0.257872947	-1.047840276	0.041396423	0.747852111	0.329671856	0.653966623	0.096760796	0.201688771	0.495305118	1.845144176	-1.098317027	0.4835554	-0.07665178	0.412408358	0.052062553	1.000926097	-0.016121893	-0.663470277	-0.998852978	-0.035967764	0.618305819	-0.76484693	-1.644465866	-0.682218112	-0.293000636	-0.412611032	-0.286129627	-1.338429478	1.538542201	0.641592249	0.657637656	-0.303756995	-0.329131553	-0.919545309	-0.479136357	-0.192023915	-0.124630153	1.998789048	1.691577576	-0.775025643	-2.575534722	1.156092862	-0.504646505	0.065324113	0.676702331	-1.480618265	0.277160812	-2.921166811	1.0002593	-0.760938197	0.863046576	-0.767351967	0.128830598	2.003855521	-0.631032501	-0.281843639	1.114947215	0.314748172	0.774605949	-0.410681199	1.140368705	-0.116658845	-0.156522733	-1.1367126	0.711345285	1.556662932	-0.185604012	1.340981525	0.071121256	0.161310627	0.304632188	-0.72217075	0.347172311	-0.097446805	1.467795407	0.634171045	0.199492041	0.843809881	-1.099502026
C00020	-0.506279772	0.561130275	-0.252626243	0.563400988	-0.798837847	-0.482136617	1.002521148	-0.43581476	0.256790026	0.290820092	-0.18379124	-0.362156453	0.224795521	-0.268182849	-0.038470398	0.029586472	-0.257025295	-0.337916527	-1.021685146	0.415396267	0.097955067	0.005968022	-0.076172413	-0.273613198	-0.509028655	0.252188686	-0.379169805	0.223119718	0.574137297	0.182017706	-0.412281511	-0.027241387	0.319017984	1.0298234	0.866593109	0.506270496	0.892007482	-0.66464515	-0.966252656	-1.066221223	0.219622768	-0.166998353	-0.832072324	0.509844587	-0.328478962	-0.093409894	0.580836735	0.131731641	1.015944123	0.998865712	-0.445201622	0.176017351	0.605693952	-0.119045555	-0.24156726	-0.454782785	-0.028684525	-0.276623488	0.104290415	0.573176414	0.230334275	0.102475894	0.191242675	0.205179407	0.12206142	0.302460495	0.190697307	0.070992861	1.552406154	0.467433175	-0.126111606	-0.048514857	-0.696872223	-0.410238577	-0.360828917	-0.815746443	-0.189130996	0.094174047	0.848058746	-0.280461313	-0.886865382	-1.059747493	-0.638941022	-0.201921531	-0.01629346	-0.958708936	-0.719796091	0.825291073	0.743849756	-0.187030654	-0.064216261	0.714071698	-0.405932638	-0.693272182	0.501793819	-0.263013606	1.014669505	0.700232627	0.731534382	0.000588467	-0.091041515	0.007360202	-0.468919749	-0.56764552	-0.311507293	0.422063957	0.269860407	-0.499825857	-0.475229992	0.273276095	0.5561546	0.44473335	0.420703574	0.833134962	0.481132425	0.523928548	0.360626076	0.561279919	0.3420423	0.004716512	0.111472743	-0.033859452	-0.188537447	-0.065821138	0.652694159	0.433440108	0.18304578	-0.261031949	0.124183748
C00022	-0.131863291	0.2167581	-0.082448767	-0.483859909	0.011609912	0.326109205	0.494688697	0.207356722	-0.23752669	-0.142059276	0.519975391	0.078319936	0.098822884	-0.511071047	0.274237181	0.107251732	0.043224341	-0.081313486	0.170558073	-0.189830336	0.544214057	0.010078803	0.165779723	-0.430395712	-0.248888729	0.240458139	0.005816102	-0.03771452	0.199852122	0.267667735	0.378060948	-0.039452232	0.368078965	0.351208964	-0.016966547	0.603403931	0.951681903	-0.605931562	-0.415830317	-0.023362254	0.409382241	-0.410162092	-0.455098335	0.047760676	0.278890275	-0.499120627	0.060938171	-1.127179537	0.260569519	0.440020052	-0.428057502	0.116627948	0.060153609	-0.034675873	0.779385205	-0.305375005	0.160469957	-0.208636901	0.0392365	0.632777112	-0.485981586	-0.082526336	-0.178603386	-0.145542252	-0.397552392	0.154053483	0.009527024	0.101682295	-0.481462048	-0.374957416	-0.079319785	0.170718569	-0.480373993	0.056713799	-0.002859426	0.315390239	0.092848347	0.408490135	-0.192746987	0.012439204	0.04451651	0.002925869	0.058197634	0.016034631	0.043815955	-0.0629417	0.54788784	-0.651618924	-0.333425615	-0.006008763	0.097241625	-0.250759855	0.000367583	0.123048175	-0.317817166	0.15650609	0.194778559	-0.04194866	0.05010455	-0.438485066	-0.169875793	-0.116076266	-1.240991539	-0.04418143	-0.730192259	0.290640782	-0.268315372	0.053574491	-0.191923645	-0.363645164	0.162119429	-0.129724585	0.284688959	-0.131439138	-0.102641707	-0.037084132	0.276843045	-0.044958849	0.236293493	0.14760305	-0.154033679	0.289255699	-0.065311534	0.058455822	-0.097087675	-0.181981298	0.08241573	0.12014171	0.120888826
C00025	0.147457385	-0.58049309	0.177199708	-0.524113799	-0.944096572	-0.172834206	-0.744001843	0.353413062	-0.047852604	-1.505750422	0.388189165	-0.679945369	0.817345931	0.529644416	-0.600920103	0.647751149	0.098225055	0.166017634	0.124255712	-0.659101285	0.77434059	-0.331194611	-0.761705912	-0.572651176	0.085594468	-0.613704609	1.520483652	-0.596772883	-0.036328742	-0.590904731	0.741060166	-0.485651587	0.625955978	0.455281585	-0.45064711	1.101396261	0.934227149	-0.313161772	0.563392013	1.787497569	-0.569288256	-0.282905963	0.474578105	-0.409457142	0.22211823	0.296107413	0.222180264	0.870738318	-0.089221186	0.124408086	1.032809674	-0.590527633	0.179278605	-1.137236402	0.364071195	0.195752092	-0.754090071	1.788308362	-0.029021342	1.484454224	-0.523907435	-0.932738187	0.462632011	-0.058290613	0.183578817	0.097546199	0.362479908	0.506291642	-0.11227066	0.712642089	0.968317068	-1.62222651	1.303523676	0.502267311	-0.172209694	-0.574675299	0.028525046	-1.195960032	1.215830774	-0.788557172	-0.815266531	0.111543407	0.013749066	-0.791941632	0.8634222	0.636241333	-1.125749676	0.506199439	1.99393331	-0.232921448	-0.893584925	2.268577503	-0.32556927	-0.177267581	0.176265492	-0.711522845	-0.591623439	-0.711805188	-1.04604561	-0.71410828	-1.522927792	-0.344781009	-0.438527826	-1.810719998	0.039507048	0.679845239	-0.485824965	-0.395924944	-0.43001315	0.064021879	-0.254495324	-0.175720075	-0.299986212	0.031353621	0.102660616	0.309856152	-0.845134274	-0.337474909	-0.095075396	-0.776810857	0.262262098	-0.688084201	-0.014799973	-0.502668557	0.48212	0.34926633	0.343471792	-0.197707113	0.338383738
C00026	-0.204803848	-0.137472048	-0.066348116	-0.268183727	-0.105453549	-0.117815756	-0.336983878	0.066011366	-0.368773836	-0.239578937	-0.076750856	-0.140786915	0.18425789	0.473467843	0.317690256	0.296511495	0.216016722	0.408919297	0.426207946	0.365424273	0.002300447	0.255637365	0.375682733	0.018391232	-0.0397151	-0.068938998	0.072501635	-0.069342081	-0.44028772	-0.359263483	0.132361605	-0.210467578	-0.394709044	0.0626556	-0.348974645	0.124254111	-0.6869788	-0.008291969	0.614884967	0.521876457	-0.045814103	-0.312225462	-0.091572739	0.06790818	-0.046352065	-0.219267356	-0.075385855	-0.118729877	-0.140548666	-0.161983823	-0.161158032	-0.184316048	-0.162951649	-0.187481446	0.104790775	0.422265847	0.003119131	-0.121896417	-0.131017316	-0.175330459	-0.235678437	0.049427576	-0.000127279	0.199323202	0.49577417	0.343614193	-0.197474925	0.504399062	-1.290059307	0.031849826	0.182508391	-0.338259296	-0.349420085	0.337022768	0.113776001	0.156763841	-0.113647839	0.204194218	0.057736821	-0.122836427	0.125090201	-0.2426953	-0.010925559	-0.15171465	-0.189426641	0.090164996	-0.078559618	-0.057416809	0.4144543	0.48938856	-0.636894161	0.011247793	0.123257619	-0.115630639	-0.060755416	0.223839359	0.089416379	-0.259400217	-0.300835186	-0.25790075	-0.572629927	-0.031395379	-0.225383701	-0.178005652	0.362281875	0.71650072	-0.445992464	-0.240068931	-0.378340118	-0.035491886	-0.380163268	-0.384350739	-0.132593618	-0.705289153	0.151884158	-0.249862489	-0.116306534	0.006010725	0.015856859	-0.392249409	-0.247540082	0.094469895	-0.293324667	-0.010282414	0.383430169	1.091888774	0.090001649	0.336141676	0.095470985
C00031	0.765474057	-0.78656137	0.000208202	1.354753047	0.113478679	0.600309467	-0.754943183	-1.262906767	-2.090991473	0.837131469	1.081336654	-0.376114348	0.857789486	1.191465208	0.658466175	1.250462508	-0.041621377	-0.509150111	-0.432982525	-2.199655386	0.240083436	-0.658171278	0.605402082	-2.507143663	0.358236371	-1.563088623	1.176711463	-1.716027617	-0.420932563	0.989669442	0.178210287	0.98483314	1.195597709	0.423889002	-0.034582929	1.071647334	0.97766807	0.545227279	0.906500237	0.013096259	0.210154897	-1.595429422	-0.737583858	1.4457214	-0.640707471	0.99889342	-0.146151956	0.127596283	-1.16653839	1.166508631	0.70356059	1.310365785	0.968457465	-0.492846216	1.399520232	0.239219118	-0.070042662	0.940581805	-0.236751404	1.015493645	-0.575787388	-0.083819232	-1.265078759	0.173391071	1.400669881	-1.715327751	-1.186413452	1.290772661	0.572596628	0.042853191	-0.013322868	-0.922681226	0.016147999	0.938849791	0.262581144	-0.121575632	2.007902385	-0.941761841	-0.18254404	0.185070794	-0.142807198	0.567966475	1.215817182	-0.386128028	0.201524762	1.393772106	0.976659477	1.404324968	0.288738509	-0.698253957	-0.724603811	0.390363531	-0.691110381	0.157774147	0.579630064	0.016817621	-1.337976755	-0.024048263	-0.91689693	-1.213226543	-0.293926298	-0.193380908	-0.032182047	-0.377832964	-1.042702912	-0.139112988	-1.29569354	-1.251219259	-1.167613795	-0.178734434	-0.349942128	-1.211542855	0.492448973	-0.757739331	-0.399252139	-1.110629256	0.025934884	0.260858466	-0.329876121	-1.286905942	-1.018083147	0.079114686	0.565824232	0.388290493	0.392508173	-0.66767862	-0.028199805	-0.729766708	-0.470258274
C00041	-0.034624954	-0.122009823	-0.108351893	-0.039795045	0.474990137	0.008111695	-0.043481605	0.306833867	-0.16802167	-0.075266954	0.036048551	-0.090738712	0.066301362	-0.229578245	-0.104430178	-0.002030272	-0.240170143	-0.007467875	0.229562634	0.172003392	-0.350876369	0.108229336	0.328439724	-0.057894584	0.078688105	-0.083547698	0.044464465	0.108897645	-0.376218765	-0.129516752	0.208203838	-0.171132953	-0.177380996	-0.034764671	0.135920519	0.38076474	-0.178190968	-0.017613786	0.220468181	0.192780258	-0.078467444	0.104009645	-0.109712494	-0.132443454	-0.015357582	-0.152180191	-0.208373493	-0.338115005	0.01352954	0.295642991	0.060767322	0.063991099	-0.059734086	-0.483102496	0.218380745	-0.18147084	0.062809749	0.166595795	0.10583291	-0.001991523	-0.137840614	-0.140369453	-0.090936676	0.102420733	0.12477692	0.241344015	-0.011791289	0.375534718	-0.091679189	-0.248281348	-0.185877586	0.149838136	-0.295155739	0.044454232	-0.072255691	0.259064073	0.039366153	0.238811745	-0.170289013	-0.016730646	0.061631134	-0.026618213	0.025897143	0.081244109	-0.020478839	-0.017304697	0.339462972	-0.407411975	-0.204048674	0.075325729	0.027757758	-0.154606347	0.040830696	0.069430473	-0.161791168	0.105499004	0.026165595	-0.251096471	-0.043462784	0.041474654	-0.141270198	-0.047390766	-0.154989148	-0.037452328	-0.160163292	0.147524702	-0.260459283	-0.102930005	-0.180724616	-0.126483824	0.042429891	-0.070038516	0.284347205	-0.047682074	-0.067207761	-0.011471392	0.203027097	-0.005606802	0.116108219	0.053748193	-0.107559324	0.233638053	-0.017398403	0.036109715	-0.027417463	-0.117699925	0.070415443	-0.049697141	0.059958936
