Metabolite	Module
C00009	MetaB_M121
C00015	MetaB_M069
C00016	MetaB_M064
C00020	MetaB_M096
C00022	MetaB_M103
C00025	MetaB_M006
C00026	MetaB_M036
C00031	MetaB_M006
C00041	MetaB_M083
C00042	MetaB_M096
C00047	MetaB_M118
C00051	MetaB_M097
C00055	MetaB_M060
C00059	MetaB_M121
C00062	MetaB_M051
C00063	MetaB_M042
C00064	MetaB_M038
C00068	MetaB_M016
C00073	MetaB_M107
C00077	MetaB_M107
C00078	MetaB_M107
C00079	MetaB_M051
C00082	MetaB_M097
C00085	MetaB_M121
C00089	MetaB_M092
C00104	MetaB_M036
C00105	MetaB_M060
C00106	MetaB_M121
C00109	MetaB_M096
C00114	MetaB_M123
C00117	MetaB_M031
C00120	MetaB_M068
C00121	MetaB_M071
C00122	MetaB_M100
C00123	MetaB_M006
C00127	MetaB_M108
C00128	MetaB_M124
C00129	MetaB_M040
C00135	MetaB_M038
C00140	MetaB_M087
C00143	MetaB_M022
C00146	MetaB_M017
C00147	MetaB_M121
C00148	MetaB_M038
C00153	MetaB_M121
C00155	MetaB_M034
C00156	MetaB_M121
C00158	MetaB_M087
C00166	MetaB_M121
C00170	MetaB_M098
C00178	MetaB_M096
C00180	MetaB_M121
C00182	MetaB_M100
C00183	MetaB_M123
C00184	MetaB_M071
C00187	MetaB_M077
C00193	MetaB_M097
C00207	MetaB_M121
C00209	MetaB_M050
C00212	MetaB_M121
C00214	MetaB_M010
C00219	MetaB_M074
C00224	MetaB_M096
C00233	MetaB_M017
C00234	MetaB_M091
C00242	MetaB_M042
C00245	MetaB_M109
C00246	MetaB_M054
C00249	MetaB_M005
C00253	MetaB_M042
C00257	MetaB_M006
C00262	MetaB_M014
C00279	MetaB_M042
C00280	MetaB_M127
C00292	MetaB_M124
C00294	MetaB_M014
C00295	MetaB_M097
C00299	MetaB_M112
C00300	MetaB_M083
C00306	MetaB_M121
C00307	MetaB_M121
C00314	MetaB_M052
C00317	MetaB_M083
C00318	MetaB_M060
C00319	MetaB_M023
C00328	MetaB_M055
C00329	MetaB_M113
C00345	MetaB_M064
C00352	MetaB_M098
C00353	MetaB_M040
C00355	MetaB_M098
C00357	MetaB_M124
C00362	MetaB_M058
C00365	MetaB_M103
C00366	MetaB_M031
C00371	MetaB_M024
C00376	MetaB_M010
C00378	MetaB_M097
C00381	MetaB_M114
C00385	MetaB_M107
C00386	MetaB_M123
C00387	MetaB_M014
C00389	MetaB_M103
C00390	MetaB_M010
C00392	MetaB_M071
C00397	MetaB_M006
C00399	MetaB_M020
C00400	MetaB_M121
C00407	MetaB_M006
C00408	MetaB_M038
C00413	MetaB_M086
C00415	MetaB_M124
C00417	MetaB_M036
C00423	MetaB_M113
C00427	MetaB_M121
C00430	MetaB_M032
C00437	MetaB_M112
C00440	MetaB_M005
C00441	MetaB_M073
C00448	MetaB_M055
C00463	MetaB_M107
C00473	MetaB_M118
C00475	MetaB_M038
C00482	MetaB_M121
C00486	MetaB_M097
C00489	MetaB_M042
C00491	MetaB_M109
C00504	MetaB_M124
C00506	MetaB_M103
C00507	MetaB_M071
C00510	MetaB_M031
C00517	MetaB_M022
C00523	MetaB_M028
C00526	MetaB_M114
C00535	MetaB_M039
C00542	MetaB_M015
C00544	MetaB_M121
C00555	MetaB_M038
C00556	MetaB_M017
C00559	MetaB_M010
C00580	MetaB_M050
C00590	MetaB_M024
C00593	MetaB_M124
C00599	MetaB_M053
C00601	MetaB_M017
C00606	MetaB_M010
C00611	MetaB_M006
C00637	MetaB_M114
C00639	MetaB_M058
C00642	MetaB_M008
C00664	MetaB_M085
C00666	MetaB_M118
C00669	MetaB_M055
C00695	MetaB_M010
C00700	MetaB_M069
C00712	MetaB_M028
C00734	MetaB_M006
C00735	MetaB_M043
C00745	MetaB_M121
C00746	MetaB_M104
C00750	MetaB_M124
C00758	MetaB_M127
C00761	MetaB_M110
C00762	MetaB_M039
C00777	MetaB_M008
C00780	MetaB_M033
C00785	MetaB_M114
C00788	MetaB_M010
C00791	MetaB_M083
C00803	MetaB_M054
C00828	MetaB_M033
C00829	MetaB_M003
C00831	MetaB_M124
C00832	MetaB_M091
C00835	MetaB_M119
C00836	MetaB_M115
C00842	MetaB_M098
C00843	MetaB_M023
C00854	MetaB_M050
C00870	MetaB_M124
C00872	MetaB_M103
C00884	MetaB_M082
C00903	MetaB_M062
C00906	MetaB_M032
C00913	MetaB_M073
C00918	MetaB_M042
C00921	MetaB_M119
C00931	MetaB_M096
C00933	MetaB_M037
C00942	MetaB_M060
C00954	MetaB_M056
C00955	MetaB_M024
C00956	MetaB_M118
C00959	MetaB_M118
C00978	MetaB_M010
C00993	MetaB_M006
C01004	MetaB_M010
C01005	MetaB_M121
C01007	MetaB_M128
C01045	MetaB_M096
C01051	MetaB_M122
C01069	MetaB_M121
C01079	MetaB_M084
C01081	MetaB_M006
C01126	MetaB_M023
C01134	MetaB_M006
C01136	MetaB_M056
