Target	Uniprot	GeneName	GeneID	Description
6Ckine	O00585	CCL21 SCYA21 UNQ784/PRO1600	6366	C-C motif chemokine 21 (6Ckine) (Beta-chemokine exodus-2) (Secondary lymphoid-tissue chemokine) (SLC) (Small-inducible cytokine A21)
Axl	P30530	AXL UFO	558	Tyrosine-protein kinase receptor UFO (EC 2.7.10.1) (AXL oncogene)
BTC	P35070	BTC	685	Probetacellulin [Cleaved into: Betacellulin (BTC)]
CCL28	Q9NRJ3	CCL28 SCYA28	56477	C-C motif chemokine 28 (Mucosae-associated epithelial chemokine) (MEC) (Protein CCK1) (Small-inducible cytokine A28)
CTACK	Q9Y4X3	CCL27 ILC SCYA27	10850	C-C motif chemokine 27 (CC chemokine ILC) (Cutaneous T-cell-attracting chemokine) (CTACK) (ESkine) (IL-11 R-alpha-locus chemokine) (Skinkine) (Small-inducible cytokine A27)
CXCL16	Q9H2A7	CXCL16 SCYB16 SRPSOX UNQ2759/PRO6714	58191	C-X-C motif chemokine 16 (Scavenger receptor for phosphatidylserine and oxidized low density lipoprotein) (SR-PSOX) (Small-inducible cytokine B16) (Transmembrane chemokine CXCL16)
ENA-78	P42830	CXCL5 ENA78 SCYB5	6374	C-X-C motif chemokine 5 (ENA-78(1-78)) (Epithelial-derived neutrophil-activating protein 78) (Neutrophil-activating peptide ENA-78) (Small-inducible cytokine B5) [Cleaved into: ENA-78(8-78); ENA-78(9-78)]
Eotaxin-3	Q9Y258	CCL26 SCYA26 UNQ216/PRO242	10344	C-C motif chemokine 26 (CC chemokine IMAC) (Eotaxin-3) (Macrophage inflammatory protein 4-alpha) (MIP-4-alpha) (Small-inducible cytokine A26) (Thymic stroma chemokine-1) (TSC-1)
GCP-2	P80162	CXCL6 GCP2 SCYB6	6372	C-X-C motif chemokine 6 (Chemokine alpha 3) (CKA-3) (Granulocyte chemotactic protein 2) (GCP-2) (Small-inducible cytokine B6) [Cleaved into: Small-inducible cytokine B6, N-processed variant 1; Small-inducible cytokine B6, N-processed variant 2; Small-inducible cytokine B6, N-processed variant 3]
GRO	P09341/P19875/P19876	CXCL1/CXCL2/CXCL3	2919	Growth-regulated alpha protein (C-X-C motif chemokine 1) (GRO-alpha(1-73)) (Melanoma growth stimulatory activity) (MGSA) (Neutrophil-activating protein 3) (NAP-3) [Cleaved into: GRO-alpha(4-73); GRO-alpha(5-73); GRO-alpha(6-73)]; C-X-C motif chemokine 2 (Growth-regulated protein beta) (Gro-beta) (Macrophage inflammatory protein 2-alpha) (MIP2-alpha) [Cleaved into: GRO-beta(5-73) (GRO-beta-T) (Hematopoietic synergistic factor) (HSF) (SB-251353)]; C-X-C motif chemokine 3 (GRO-gamma(1-73)) (Growth-regulated protein gamma) (GRO-gamma) (Macrophage inflammatory protein 2-beta) (MIP2-beta) [Cleaved into: GRO-gamma(5-73)]
GRO	P09341/P19875/P19876	CXCL1/CXCL2/CXCL3	2920	Growth-regulated alpha protein (C-X-C motif chemokine 1) (GRO-alpha(1-73)) (Melanoma growth stimulatory activity) (MGSA) (Neutrophil-activating protein 3) (NAP-3) [Cleaved into: GRO-alpha(4-73); GRO-alpha(5-73); GRO-alpha(6-73)]; C-X-C motif chemokine 2 (Growth-regulated protein beta) (Gro-beta) (Macrophage inflammatory protein 2-alpha) (MIP2-alpha) [Cleaved into: GRO-beta(5-73) (GRO-beta-T) (Hematopoietic synergistic factor) (HSF) (SB-251353)]; C-X-C motif chemokine 3 (GRO-gamma(1-73)) (Growth-regulated protein gamma) (GRO-gamma) (Macrophage inflammatory protein 2-beta) (MIP2-beta) [Cleaved into: GRO-gamma(5-73)]
GRO	P09341/P19875/P19876	CXCL1/CXCL2/CXCL3	2921	Growth-regulated alpha protein (C-X-C motif chemokine 1) (GRO-alpha(1-73)) (Melanoma growth stimulatory activity) (MGSA) (Neutrophil-activating protein 3) (NAP-3) [Cleaved into: GRO-alpha(4-73); GRO-alpha(5-73); GRO-alpha(6-73)]; C-X-C motif chemokine 2 (Growth-regulated protein beta) (Gro-beta) (Macrophage inflammatory protein 2-alpha) (MIP2-alpha) [Cleaved into: GRO-beta(5-73) (GRO-beta-T) (Hematopoietic synergistic factor) (HSF) (SB-251353)]; C-X-C motif chemokine 3 (GRO-gamma(1-73)) (Growth-regulated protein gamma) (GRO-gamma) (Macrophage inflammatory protein 2-beta) (MIP2-beta) [Cleaved into: GRO-gamma(5-73)]
HCC-1	Q16627	CCL14 NCC2 SCYA14	6358	C-C motif chemokine 14 (Chemokine CC-1/CC-3) (HCC-1/HCC-3) (HCC-1(1-74)) (NCC-2) (Small-inducible cytokine A14) [Cleaved into: HCC-1(3-74); HCC-1(4-74); HCC-1(9-74)]
HCC-4	O15467	CCL16 ILINCK NCC4 SCYA16	6360	C-C motif chemokine 16 (Chemokine CC-4) (HCC-4) (Chemokine LEC) (IL-10-inducible chemokine) (LCC-1) (Liver-expressed chemokine) (Lymphocyte and monocyte chemoattractant) (LMC) (Monotactin-1) (MTN-1) (NCC-4) (Small-inducible cytokine A16)
IL-9	P15248	IL9	3578	Interleukin-9 (IL-9) (Cytokine P40) (T-cell growth factor P40)
IL-17F	Q96PD4	IL17F	112744	Interleukin-17F (IL-17F) (Cytokine ML-1)
IL-18 BPa	O95998	IL18BP	10068	Interleukin-18-binding protein (IL-18BP) (Tadekinig-alfa)
IL-28A	Q8IZJ0	IFNL2 IL28A ZCYTO20	282616	Interferon lambda-2 (IFN-lambda-2) (Cytokine Zcyto20) (Interleukin-28A) (IL-28A)
IL-29	Q8IU54	IFNL1 IL29 ZCYTO21	282618	Interferon lambda-1 (IFN-lambda-1) (Cytokine Zcyto21) (Interleukin-29) (IL-29)
IL-31	Q6EBC2	IL31	386653	Interleukin-31 (IL-31)
IP-10	P02778	CXCL10 INP10 SCYB10	3627	C-X-C motif chemokine 10 (10 kDa interferon gamma-induced protein) (Gamma-IP10) (IP-10) (Small-inducible cytokine B10) [Cleaved into: CXCL10(1-73)]
I-TAC	O14625	CXCL11 ITAC SCYB11 SCYB9B	6373	C-X-C motif chemokine 11 (Beta-R1) (H174) (Interferon gamma-inducible protein 9) (IP-9) (Interferon-inducible T-cell alpha chemoattractant) (I-TAC) (Small-inducible cytokine B11)
LIF	P15018	LIF HILDA	3976	Leukemia inhibitory factor (LIF) (Differentiation-stimulating factor) (D factor) (Melanoma-derived LPL inhibitor) (MLPLI) (Emfilermin)
LIGHT	O43557	TNFSF14 HVEML LIGHT UNQ391/PRO726	8740	Tumor necrosis factor ligand superfamily member 14 (Herpes virus entry mediator ligand) (HVEM-L) (Herpesvirus entry mediator ligand) (CD antigen CD258) [Cleaved into: Tumor necrosis factor ligand superfamily member 14, membrane form; Tumor necrosis factor ligand superfamily member 14, soluble form]
Lymphotactin	P47992	XCL1 LTN SCYC1	6375	Lymphotactin (ATAC) (C motif chemokine 1) (Cytokine SCM-1) (Lymphotaxin) (SCM-1-alpha) (Small-inducible cytokine C1) (XC chemokine ligand 1)
MCP-2	P80075	CCL8 MCP2 SCYA10 SCYA8	6355	C-C motif chemokine 8 (HC14) (Monocyte chemoattractant protein 2) (Monocyte chemotactic protein 2) (MCP-2) (Small-inducible cytokine A8) [Cleaved into: MCP-2(6-76)]
MCP-3	P80098	CCL7 MCP3 SCYA6 SCYA7	6354	C-C motif chemokine 7 (Monocyte chemoattractant protein 3) (Monocyte chemotactic protein 3) (MCP-3) (NC28) (Small-inducible cytokine A7)
MCP-4	Q99616	CCL13 MCP4 NCC1 SCYA13	6357	C-C motif chemokine 13 (CK-beta-10) (Monocyte chemoattractant protein 4) (Monocyte chemotactic protein 4) (MCP-4) (NCC-1) (Small-inducible cytokine A13) [Cleaved into: C-C motif chemokine 13, long chain; C-C motif chemokine 13, medium chain; C-C motif chemokine 13, short chain]
